Ngày,Lãi suất qua đêm _ON (%),Lãi suất 1 tuần (%),Lãi suất 2 tuần (%)
2026-07-13,4.2,4.8,5.55
2026-07-12,4.19,4.39,5.52
2026-07-09,4.28,4.92,5.5
2026-07-08,4.68,5.23,6.04
2026-07-07,5.28,6,6.71
2026-07-06,5.84,6.35,6.47
2026-07-05,6.01,6.31,6.36
2026-07-02,5.67,6.17,6.12
2026-07-01,6.62,6.92,7.07
2026-06-30,5.95,6.39,7.2
2026-06-29,12.49,7.26,6.84
2026-06-28,3.73,7.96,8.47
2026-06-25,2.91,7.35,7.72
2026-06-24,3.16,7.5,7.81
2026-06-23,3.79,7.52,7.78
2026-06-22,5.21,6.98,7.75
2026-06-21,6.2,6.75,7.62
2026-06-18,4.41,5.3,7.54
2026-06-17,4.03,5.12,7.5
2026-06-16,3.7,5.02,6.42
2026-06-15,3.85,5.2,6.44
2026-06-14,3.52,4.82,5.95
2026-06-11,3.51,4.31,5.74
2026-06-10,4.34,5.17,6.18
2026-06-09,4.85,5.88,6.29
2026-06-08,5.8,6.55,6.9
2026-06-07,9.35,7.99,7.12
2026-06-04,6.13,6.57,6.91
2026-06-03,5.27,6.08,6.42
2026-06-02,5.48,6.14,6.22
2026-06-01,6.54,7.11,7.18
2026-05-31,10.66,9.77,8.09
2026-05-28,6.97,7.14,7.34
2026-05-27,6.96,7.38,7.35
2026-05-26,7.8,7.56,7.59
2026-05-25,7.68,7.48,7.48
2026-05-24,6.97,7.23,7.17
2026-05-21,6.57,6.7,7.02
2026-05-20,5.52,5.97,6.65
2026-05-19,6.01,6.27,6.54
2026-05-18,6.2,6.4,6.78
2026-05-17,5.72,5.8,6.25
2026-05-14,5.25,5.55,6.03
2026-05-13,6.05,6.2,6.47
2026-05-12,6.32,6.49,6.62
2026-05-11,6.33,6.4,6.62
2026-05-10,5.15,5.38,5.93
2026-05-07,4.99,5.37,5.9
2026-05-06,5.72,5.9,6.48
2026-05-05,6.18,6.55,6.12
2026-05-04,7.05,6.93,6.99
2026-05-03,6.62,6.81,6.86
2026-04-28,3.88,6.23,6.48
2026-04-27,3.88,5.9,6.42
2026-04-23,4.38,4,6.07
2026-04-22,4.38,4.72,6.43
2026-04-21,5.79,6.15,6.98
2026-04-20,5.82,6.52,7.01
2026-04-19,4.28,5.22,6.93
2026-04-16,3.98,4.94,6.45
2026-04-15,3.88,4.69,5.12
2026-04-14,3.84,4.83,5.28
2026-04-13,4.83,5.75,5.81
2026-04-12,6.03,6.53,6.66
2026-04-09,5.94,6.49,6.56
2026-04-08,5.79,6.27,6.43
2026-04-07,4.67,5.82,6.06
2026-04-06,5.57,6.29,6.49
2026-04-05,8.58,8.21,7.91
2026-04-02,6.29,6.16,6.56
2026-04-01,8.69,8.58,7.14
2026-03-31,8.81,8.56,7.95
2026-03-30,9.57,8.74,7.87
2026-03-29,11.42,11.27,8.94
2026-03-26,4.63,6.61,7.85
2026-03-25,4.53,6.58,8.11
2026-03-24,6.86,7.87,8.96
2026-03-23,8.05,8.66,8.92
2026-03-22,5.38,6.47,7.45
2026-03-19,4.2,5.01,6.97
2026-03-18,4.6,5.64,7.15
2026-03-17,4.56,5.45,6.58
2026-03-16,4.47,5.28,5.58
2026-03-15,3.96,4.48,5.34
2026-03-12,4,4.61,5.36
2026-03-11,4.24,5.07,5.6
2026-03-10,4.56,5.27,6.05
2026-03-09,5.75,6.23,6.68
2026-03-08,6.01,6.42,6.7
2026-03-05,4.61,5.2,6.15
2026-03-04,5.74,6.07,7.75
2026-03-03,10.62,9,7.87
2026-03-02,10.11,8.83,8.56
2026-03-01,11.21,10.77,9.03
2026-02-26,4.7,6.56,6.36
2026-02-25,2.83,5.62,6.36
2026-02-24,3.67,5.7,6.28
2026-02-23,4.47,5.54,6.09
2026-02-22,6.39,6.91,6.38
2026-02-12,3.76,9.1,5.78
2026-02-11,3.76,9.1,5.77
2026-02-10,4.28,9.1,6.55
2026-02-09,8.51,9.1,8.72
2026-02-08,9.19,9.1,9.04
2026-02-05,9.92,9.67,9.31
2026-02-04,8.6,8.85,8.9
2026-02-03,10.19,9.95,8
2026-02-02,16.39,13.44,8
2026-02-01,9.12,9.56,7.69
2026-01-29,5.09,5.89,6.99
2026-01-28,4.1,5.35,6.3
2026-01-27,6.06,6.48,6.55
2026-01-26,5.92,6.27,6.44
2026-01-25,5.55,5.92,6.18
2026-01-22,4.56,5.21,5.61
2026-01-21,2.81,3.92,4.81
2026-01-20,2.78,4.17,5.11
2026-01-19,2.84,4.16,5.17
2026-01-18,3.37,4.61,4.98
2026-01-15,3.79,4.25,4.91
2026-01-14,4.17,4.83,5.17
2026-01-13,4.11,4.77,5.2
2026-01-12,3.97,4.63,5.09
2026-01-11,3.99,4.17,4.92
2026-01-09,3.16,4.18,5
2026-01-08,3.08,3.99,4.69
2026-01-07,3.63,4.29,5.06
2026-01-06,4.66,5.31,5.72
2026-01-05,5.65,6.14,6.07
2026-01-04,6.88,7.29,7.13
2025-12-30,1.77,8.61,8.38
2025-12-29,1.77,8.49,8.93
2025-12-28,3.29,8.36,8.5
2025-12-25,4.31,5.04,8.48
2025-12-24,5.47,5.87,8.72
2025-12-23,6.31,6.89,8.63
2025-12-22,6.44,6.96,7.69
2025-12-21,6.72,7.11,7.7
2025-12-18,5.67,5.94,6.56
2025-12-17,4.58,5.07,6.68
2025-12-16,4.48,5.15,5.06
2025-12-15,5.26,5.84,6.4
2025-12-14,6.32,6.66,6.6
2025-12-11,7.08,7.1,7.47
2025-12-10,7.37,7.44,7.57
2025-12-09,7.33,7.47,7.36
2025-12-08,7.48,7.51,7.43
2025-12-07,7.49,7.6,7.49
2025-12-04,7.37,7.09,7.35
2025-12-03,6.88,6.92,7.22
2025-12-02,7.48,7.49,7.48
2025-12-01,7.44,7.21,7
2025-11-30,7.07,7.09,6.58
2025-11-27,5.4,5.82,6.08
2025-11-26,5.41,5.86,6.28
2025-11-25,5.74,5.84,6.19
2025-11-24,6.44,6.5,6.47
2025-11-23,5.76,5.99,5.94
2025-11-20,4.38,4.71,4.89
2025-11-19,4.18,4.43,4.74
2025-11-18,4.08,4.4,4.82
2025-11-17,4.4,4.6,4.71
2025-11-16,4.58,4.71,4.77
2025-11-13,4.51,4.67,5.77
2025-11-12,5.4,5.46,5.77
2025-11-11,6.01,6.23,6.18
2025-11-10,6.1,6.26,6.21
2025-11-09,5.93,6.01,6.24
2025-11-06,5.82,5.87,5.88
2025-11-05,5.97,6.06,5.99
2025-11-04,5.92,5.96,5.89
2025-11-03,5.61,5.85,5.59
2025-11-02,5.38,5.58,5.59
2025-10-30,4.45,4.98,5.27
2025-10-29,3.2,4.47,5.14
2025-10-28,4.17,4.77,5.38
2025-10-27,5.36,5.67,5.74
2025-10-26,5.87,5.99,6.04
2025-10-23,5.82,5.87,5.98
2025-10-22,5.81,5.86,5.95
2025-10-21,6.16,5.91,6.07
2025-10-20,5.19,5.34,5.33
2025-10-19,4.97,5.19,5.24
2025-10-16,5.36,5.49,5.53
2025-10-15,5.75,5.72,5.8
2025-10-14,5,5.27,5.21
2025-10-13,4.82,4.91,5.08
2025-10-12,4.73,4.91,4.93
2025-10-09,4.79,4.91,5.09
2025-10-08,5.1,5.12,5.23
2025-10-07,4.97,5.08,5.13
2025-10-06,4.68,4.74,4.86
2025-10-05,4.36,4.56,4.65
2025-10-02,4.27,4.4,4.48
2025-10-01,4.39,4.48,4.74
2025-09-30,4.51,4.78,4.87
2025-09-29,4.38,5.39,5.37
2025-09-28,3.81,5.27,5.27
2025-09-25,4.38,5.33,5.72
2025-09-24,4.57,5.63,5.79
2025-09-23,4.26,5.25,5.36
2025-09-22,3.91,4.19,4.97
2025-09-21,3.79,4.1,4.86
2025-09-18,3.89,4.08,4.91
2025-09-17,4.14,4.38,4.91
2025-09-16,4.54,4.7,4.93
2025-09-15,4.51,4.68,4.86
2025-09-14,4.17,4.34,4.53
2025-09-11,4.12,4.35,4.58
2025-09-10,4.07,4.23,4.51
2025-09-09,4.01,4.34,4.47
2025-09-08,4.19,4.41,4.63
2025-09-07,4.4,4.58,4.7
2025-09-04,3.94,4.26,4.59
2025-09-03,4.7,4.8,5.13
2025-09-02,4.99,5.05,5.18
2025-08-28,2.03,3.84,4.84
2025-08-27,2.03,3.97,4.75
2025-08-26,3.42,4.58,5
2025-08-25,3.94,5.03,5.3
2025-08-24,4.89,5.46,5.68
2025-08-21,4.76,4.94,5.63
2025-08-20,4.47,4.66,4.99
2025-08-19,3.78,4.29,4.94
2025-08-18,3.88,4.31,4.86
2025-08-17,4.46,4.66,4.73
2025-08-14,4.49,4.69,5.11
2025-08-13,3.88,4.11,4.89
2025-08-12,4.15,4.42,4.41
2025-08-11,5.02,5.26,5.3
2025-08-10,5.77,5.92,5.8
2025-08-07,6.25,6.11,6.28
2025-08-06,6.6,5.89,5.88
2025-08-05,5.48,5.57,5.56
2025-08-04,5.48,5.56,5.57
2025-08-03,5.22,5.27,5.26
2025-07-31,5.36,5.35,5.07
2025-07-30,3.35,4.24,4.34
2025-07-29,3.67,4.4,4.54
2025-07-28,4.33,4.76,4.99
2025-07-27,5.85,6.01,5.64
2025-07-24,6.5,6.47,6.45
2025-07-23,5.95,5.63,5.79
2025-07-22,5.26,5.24,5.05
2025-07-21,5.04,5.09,5.07
2025-07-20,4.93,4.9,4.97
2025-07-17,5.01,4.94,5
2025-07-16,5.17,5.13,5.18
2025-07-15,5.09,5.04,5.05
2025-07-14,4.78,4.78,4.75
2025-07-13,4.68,4.69,4.6
2025-07-10,4.65,4.66,4.71
2025-07-09,4.69,4.68,4.69
2025-07-08,4.65,4.65,4.72
2025-07-07,4.48,4.55,4.59
2025-07-06,4.25,4.32,4.31
2025-07-03,4.08,4.25,4.25
2025-07-02,3.91,4.03,4.19
2025-07-01,3.81,4.01,4.09
2025-06-30,4.84,4.97,4.49
2025-06-29,6.45,6.53,5.62
2025-06-26,4.86,4.85,5.08
2025-06-25,4.37,4.47,4.47
2025-06-24,3.31,4.22,4.19
2025-06-23,1.62,3.85,3.99
2025-06-22,1.62,2.29,3.86
2025-06-19,1.83,2.3,3.87
2025-06-18,1.67,2.2,3.26
2025-06-17,2,2.42,3.82
2025-06-16,2.48,2.86,3.67
2025-06-15,3.13,3.37,3.83
2025-06-12,3.72,3.85,3.96
2025-06-11,4.04,4.15,4.2
2025-06-10,3.24,3.58,3.67
2025-06-09,2.83,3.09,3.53
2025-06-08,2.83,3.16,3.27
2025-06-05,2.82,3.21,3.34
2025-06-04,3.06,3.41,3.59
2025-06-03,3.19,3.43,3.89
2025-06-02,3.63,3.91,4.13
2025-06-01,3.8,3.99,4.05
2025-05-29,3.1,3.66,3.82
2025-05-28,3.65,4,4.17
2025-05-27,4.08,4.24,4.32
2025-05-26,4.12,4.2,4.31
2025-05-25,3.94,4.13,4.17
2025-05-22,3.92,4,4.18
2025-05-21,3.86,3.95,4.11
2025-05-20,3.6,3.78,4.02
2025-05-19,3.63,3.89,4.07
2025-05-18,3.71,3.94,4.01
2025-05-15,3.78,3.92,4.13
2025-05-14,3.92,4.08,4.16
2025-05-13,3.93,4.08,4.25
2025-05-12,4.03,4.22,4.3
2025-05-11,4.09,4.3,4.3
2025-05-08,4.09,4.24,4.31
2025-05-07,3.96,4.03,4.23
2025-05-06,4.03,4.22,4.29
2025-05-05,4.14,4.41,4.36
2025-05-04,4.13,4.38,4.41
2025-04-27,2.54,4.16,4.36
2025-04-25,2.47,4.61,4.45
2025-04-24,2.46,2.88,4.18
2025-04-23,3.31,4.05,4.33
2025-04-22,3.95,4.27,4.58
2025-04-21,4.69,4.74,4.68
2025-04-20,4.48,4.53,4.68
2025-04-17,4.1,4.24,4.51
2025-04-16,4.07,4.21,4.7
2025-04-15,4.03,4.27,4.37
2025-04-14,4.02,4.29,4.44
2025-04-13,4.06,4.28,4.41
2025-04-10,4.03,4.35,4.41
2025-04-09,4.06,4.22,4.44
2025-04-08,4.21,4.39,4.41
2025-04-07,4.21,4.48,4.53
2025-04-03,3.99,4.08,4.4
2025-04-02,3.99,4.2,4.28
2025-04-01,4.02,4.21,4.38
2025-03-31,4.56,4.69,4.58
2025-03-30,4.61,4.84,4.65
2025-03-27,3.53,4.31,4.44
2025-03-26,3.88,4.34,4.4
2025-03-25,4.35,4.51,4.54
2025-03-24,4.48,4.56,4.67
2025-03-23,4.34,4.41,4.58
2025-03-20,4.31,4.33,4.53
2025-03-19,3.97,4.1,4.31
2025-03-18,4.05,4.2,4.3
2025-03-17,4.18,4.35,4.31
2025-03-16,4.26,4.38,4.3
2025-03-13,4.39,4.46,4.56
2025-03-12,4.57,4.56,4.48
2025-03-11,4.81,4.71,4.43
2025-03-10,4.7,4.78,4.51
2025-03-09,4.19,4.34,4.06
2025-03-06,3.88,4.04,3.98
2025-03-05,3.98,4.02,4.13
2025-03-04,4.47,4.43,4.48
2025-03-03,4.77,4.81,4.86
2025-03-02,4.74,4.77,4.69
2025-02-27,4.59,4.83,4.65
2025-02-26,3.79,4.24,4.55
2025-02-25,4.14,4.47,4.73
2025-02-24,4.73,4.81,4.85
2025-02-23,4.5,4.71,4.74
2025-02-20,3.98,4.22,4.51
2025-02-19,4.08,4.37,4.43
2025-02-18,4.3,4.44,4.51
2025-02-17,4.64,4.78,4.75
2025-02-16,4.48,4.61,4.67
2025-02-13,3.94,4.21,4.47
2025-02-12,4.25,4.45,4.63
2025-02-11,4.57,4.63,4.85
2025-02-10,5.52,5.42,5.35
2025-02-09,5.54,5.3,4.98
2025-02-06,4.38,4.5,4.65
2025-02-05,4.33,4.4,4.72
2025-02-04,4.7,4.81,4.89
2025-02-03,5.7,4.67,4.93
2025-02-02,4.75,4.98,5
2025-01-23,3.92,4.82,4.76
2025-01-22,3.92,4.82,4.74
2025-01-21,3.83,4.82,4.82
2025-01-20,4.19,4.82,4.8
2025-01-19,4.77,4.82,4.95
2025-01-16,3.9,4.15,4.8
2025-01-15,3.8,4.14,4.45
2025-01-14,3.94,4.37,4.45
2025-01-13,4.59,4.87,4.45
2025-01-12,4.95,5.17,4.45
2025-01-09,4.74,4.76,4.45
2025-01-08,4.33,4.49,4.45
2025-01-07,3.92,4.25,4.18
2025-01-06,3.79,4.21,4.32
2025-01-05,3.84,4.2,4.19
2025-01-02,3.96,4.2,4.48
2025-01-01,4.03,4.37,4.5
2024-12-30,4.04,4.84,4.85
2024-12-29,3.15,4.97,5.17
2024-12-26,4,5.05,5.21
2024-12-25,4.57,5.05,5.06
2024-12-24,4.48,4.85,5.11
2024-12-23,4.37,4.69,5.03
2024-12-22,4.37,4.5,4.92
2024-12-19,3.99,4.45,4.82
2024-12-18,2.69,3.45,4.59
2024-12-17,2.79,3.62,4.67
2024-12-16,3.29,3.86,4.26
2024-12-15,3.88,4.12,4.66
2024-12-12,4.01,4.18,4.31
2024-12-11,4.5,4.71,4.74
2024-12-10,4.47,4.63,4.63
2024-12-09,4.18,4.41,4.61
2024-12-08,4.03,4.21,4.57
2024-12-05,4,4.22,4.4
2024-12-04,3.99,4.15,4.18
2024-12-03,4.15,4.42,4.54
2024-12-02,4.18,4.46,4.67
2024-12-01,4.17,4.41,4.55
2024-11-28,3.11,3.8,3.56
2024-11-27,3.25,3.94,4.53
2024-11-26,4.41,4.71,5.07
2024-11-25,5.43,5.42,5.65
2024-11-24,5.47,5.53,5.48
2024-11-21,4.58,4.75,4.89
2024-11-20,4.06,4.22,4.54
2024-11-19,4.19,4.43,4.68
2024-11-18,5.31,5.34,5.6
2024-11-17,5.89,5.73,5.19
2024-11-14,5.83,5.79,5.76
2024-11-13,5.68,5.72,5.69
2024-11-12,5.42,5.41,5.71
2024-11-11,4.72,4.85,4.83
2024-11-10,4.56,4.68,4.68
2024-11-07,4.54,4.6,4.7
2024-11-06,4.8,4.85,4.88
2024-11-05,4.8,4.82,4.72
2024-11-04,5.57,5.63,5.43
2024-11-03,6.08,6.12,5.35
2024-10-31,4.02,4.16,4.04
2024-10-30,3.54,3.92,4.12
2024-10-29,3.82,4.25,4.32
2024-10-28,4.7,4.74,4.52
