as_of_date,distance_to_cascade,regime_flag,early_warning_score,early_warning_level,warning_basis,alert_uses_quant_platform_panel,stress_confidence,input_quality_score,methodology_version
2025-02-28,0.1,STRESS_RISING,45.0,YELLOW,"leverage_crowding,latent_fragility_watch,cascade_vulnerability",True,0.5047232698008327,0.5047232698008327,abm_refactor_v4_early_warning
2025-03-07,0.1,MARGIN_BUILDUP,16.139119245402007,GREEN,"leverage_crowding,cascade_vulnerability,liquidity_stress",True,0.4924980533733177,0.4924980533733177,abm_refactor_v4_early_warning
2025-03-14,0.1,FRAGILITY_BUILDUP,45.0,YELLOW,"leverage_crowding,latent_fragility_watch,cascade_vulnerability",True,0.5025746100166427,0.5025746100166427,abm_refactor_v4_early_warning
2025-03-21,0.1,MARGIN_BUILDUP,22.67880176539841,GREEN,"leverage_crowding,market_damage,liquidity_stress",True,0.4992564274070202,0.4992564274070202,abm_refactor_v4_early_warning
2025-03-28,0.1,FRAGILITY_BUILDUP,45.0,YELLOW,"leverage_crowding,latent_fragility_watch,cascade_vulnerability",True,0.505079789999975,0.505079789999975,abm_refactor_v4_early_warning
2025-04-04,0.1,POST_SHOCK_STRESS,78.19831987129815,RED,"market_damage,simulated_loss,panic_amplification",True,0.6710597745584854,0.6710597745584854,abm_refactor_v4_early_warning
2025-04-11,0.1,STRESS_RISING,40.4174494829967,GREEN,"endogenous_loss,panic_amplification,market_damage",True,0.6377823749127698,0.6377823749127698,abm_refactor_v4_early_warning
2025-04-18,0.1,STRESS_RISING,43.59470438421758,GREEN,"endogenous_loss,panic_amplification,market_damage",True,0.6451243705496641,0.6451243705496641,abm_refactor_v4_early_warning
2025-04-25,0.1,STRESS_RISING,20.88505260878697,GREEN,"leverage_crowding,market_damage,liquidity_stress",True,0.6521371921666184,0.6521371921666184,abm_refactor_v4_early_warning
2025-04-29,0.1,STRESS_RISING,19.69929723324214,GREEN,"leverage_crowding,market_damage,liquidity_stress",True,0.6501767559869945,0.6501767559869945,abm_refactor_v4_early_warning
2025-05-09,0.1,MARGIN_BUILDUP,8.657965577650746,GREEN,"leverage_crowding,liquidity_stress",True,0.6574326282191115,0.6574326282191115,abm_refactor_v4_early_warning
2025-05-16,0.1,MARGIN_BUILDUP,11.965048106343778,GREEN,"leverage_crowding,liquidity_stress,cascade_vulnerability",True,0.6678857744119171,0.6678857744119171,abm_refactor_v4_early_warning
2025-05-23,0.1,MARGIN_BUILDUP,8.288872041087172,GREEN,"leverage_crowding,liquidity_stress",True,0.6774783579017993,0.6774783579017993,abm_refactor_v4_early_warning
2025-05-30,0.1,MARGIN_BUILDUP,20.92245924222025,GREEN,"leverage_crowding,market_damage,liquidity_stress",True,0.6722246869334831,0.6722246869334831,abm_refactor_v4_early_warning
