date,tenor,yield_pct,source,scrape_run_id,scraped_at
2025-09-05,10Y,3.54,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/25082025-05092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-05,15Y,3.62,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/25082025-05092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-05,1Y,2.64,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/25082025-05092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-05,20Y,3.68,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/25082025-05092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-05,2Y,2.68,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/25082025-05092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-05,30Y,3.77,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/25082025-05092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-05,3Y,2.74,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/25082025-05092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-05,5Y,3.01,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/25082025-05092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-05,7Y,3.38,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/25082025-05092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-12,10Y,3.55,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/08092025-12092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-12,15Y,3.63,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/08092025-12092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-12,1Y,2.66,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/08092025-12092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-12,20Y,3.68,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/08092025-12092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-12,2Y,2.7,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/08092025-12092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-12,30Y,3.78,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/08092025-12092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-12,3Y,2.76,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/08092025-12092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-12,5Y,3.01,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/08092025-12092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-12,7Y,3.37,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/08092025-12092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-19,10Y,3.56,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/15092025-19092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-19,15Y,3.65,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/15092025-19092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-19,1Y,2.67,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/15092025-19092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-19,20Y,3.69,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/15092025-19092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-19,2Y,2.71,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/15092025-19092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-19,30Y,3.79,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/15092025-19092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-19,3Y,2.77,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/15092025-19092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-19,5Y,3.01,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/15092025-19092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-19,7Y,3.36,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/15092025-19092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-26,10Y,3.59,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/22092025-26092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-26,15Y,3.68,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/22092025-26092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-26,1Y,2.69,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/22092025-26092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-26,20Y,3.71,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/22092025-26092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-26,2Y,2.73,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/22092025-26092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-26,30Y,3.8,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/22092025-26092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-26,3Y,2.79,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/22092025-26092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-26,5Y,3.04,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/22092025-26092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-26,7Y,3.37,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/22092025-26092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-10-03,10Y,3.64,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/29092025-03102025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-10-03,15Y,3.72,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/29092025-03102025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-10-03,1Y,2.7,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/29092025-03102025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-10-03,20Y,3.74,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/29092025-03102025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-10-03,2Y,2.75,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/29092025-03102025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-10-03,30Y,3.82,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/29092025-03102025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-10-03,3Y,2.8,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/29092025-03102025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-10-03,5Y,3.07,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/29092025-03102025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-10-03,7Y,3.39,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/29092025-03102025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-10-10,10Y,3.69,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/06102025-10102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-10,15Y,3.76,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/06102025-10102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-10,1Y,2.72,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/06102025-10102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-10,20Y,3.77,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/06102025-10102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-10,2Y,2.77,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/06102025-10102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-10,30Y,3.84,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/06102025-10102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-10,3Y,2.83,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/06102025-10102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-10,5Y,3.1,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/06102025-10102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-10,7Y,3.41,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/06102025-10102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-17,10Y,3.74,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/13102025-17102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-17,15Y,3.8,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/13102025-17102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-17,1Y,2.74,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/13102025-17102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-17,20Y,3.82,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/13102025-17102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-17,2Y,2.78,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/13102025-17102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-17,30Y,3.88,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/13102025-17102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-17,3Y,2.85,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/13102025-17102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-17,5Y,3.14,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/13102025-17102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-17,7Y,3.41,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/13102025-17102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-24,10Y,3.78,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/20102025-24102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-24,15Y,3.84,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/20102025-24102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-24,1Y,2.78,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/20102025-24102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-24,20Y,3.85,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/20102025-24102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-24,2Y,2.82,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/20102025-24102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-24,30Y,3.91,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/20102025-24102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-24,3Y,2.89,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/20102025-24102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-24,5Y,3.16,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/20102025-24102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-24,7Y,3.43,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/20102025-24102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-31,10Y,3.8,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/27102025-31102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-31,15Y,3.88,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/27102025-31102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-31,1Y,2.79,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/27102025-31102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-31,20Y,3.87,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/27102025-31102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-31,2Y,2.84,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/27102025-31102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-31,30Y,3.94,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/27102025-31102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-31,3Y,2.91,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/27102025-31102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
