report_date,bond_code,issuer_name,issuer_sector,sector,issue_value_bn_vnd,issuance_method,coupon_text,coupon_rate_pct,issue_date,tenor_years,estimated_maturity_date,maturity_bucket,source,scrape_run_id,scraped_at
2025-10-10,EVF12503,CT TÀI CHÍNH TỔNG HỢP CỔ PHẦN ĐIỆN LỰC,TÀI CHÍNH,non_bank_corp,180.0,HÀ NH,7.25% /NĂM,7.25,2025-10-01,5.0,2030-10-01,3Y_5Y,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/06102025-10102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-10,HDB12504,NHTM CP PHÁT TRIỂN THÀNH PHỐ HỒ CHÍ M INH,NGÂN HÀNG,bank,500.0,RIÊNG LẺ,"BÌNH QUÂN LSTK 12T VNĐ (VCB, BIDV, VIETIN, AGRI) + 2.8% /NĂM",,2025-10-06,8.0,2033-10-06,>5Y,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/06102025-10102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-10,OCB12525,NHTM CP PHƯƠNG ĐÔNG,NGÂN HÀNG,bank,600.0,RIÊNG LẺ,6.3% /NĂM,6.3,2025-10-02,2.0,2027-10-02,<=3Y,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/06102025-10102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-10,OCB12526,NHTM CP PHƯƠNG ĐÔNG,NGÂN HÀNG,bank,1000.0,RIÊNG LẺ,6.5% /NĂM,6.5,2025-10-02,3.0,2028-10-02,<=3Y,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/06102025-10102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-10,OCB12527,NHTM CP PHƯƠNG ĐÔNG,NGÂN HÀNG,bank,1000.0,RIÊNG LẺ,6.5% /NĂM,6.5,2025-10-08,3.0,2028-10-08,<=3Y,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/06102025-10102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-10,SHS12502,CTCP CHỨNG KHOÁN SÀI GÒN - HÀ NỘI,CHỨNG KHOÁN,non_bank_corp,360.0,RIÊNG LẺ,8% /NĂM,8.0,2025-10-09,1.0,2026-10-09,<=3Y,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/06102025-10102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-17,ABB12513,NHTM CP AN BÌNH,NGÂN HÀNG,bank,450.0,RIÊNG LẺ,"THEO ĐK 10.3, LS TỪ KỲ THỨ 6 = LSTC + 3.5% /NĂM",,2025-10-13,7.0,2032-10-13,>5Y,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/13102025-17102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-17,ACB12518,NHTM CP Á CHÂU,NGÂN HÀNG,bank,800.0,RIÊNG LẺ,"LÃI"" THỨ 11 = LSTC + 3.5% /NĂM",,2025-10-09,3.0,2028-10-09,<=3Y,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/13102025-17102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-17,ACB12519,NHTM CP Á CHÂU,NGÂN HÀNG,bank,500.0,RIÊNG LẺ,8% /NĂM,8.0,2025-10-10,3.0,2028-10-10,<=3Y,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/13102025-17102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2025-10-17,BID12545,NHTM CP ĐẦU TƯ VÀ PHÁT TRIỂN VIỆT NAM,NGÂN HÀNG,bank,100.0,RIÊNG LẺ,"LSTC + 1.15% /NĂM , NẾU TCPH KHÔNG M UA LẠI VÀO NGÀY THỰC HIỆN M UA LẠI, LS TỪ KỲ THỨ",,2025-10-06,8.0,2033-10-06,>5Y,vbma_weekly:https://vbma.org.vn/storage/reports/December2025/13102025-17102025%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
