report_date,sector,maturity_bucket,yield_avg_pct,yield_median_pct,issuance_count,source,scrape_run_id,scraped_at
2025-09-05,bank,<=3Y,5.017424242424243,5.9,9,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/25082025-05092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-05,bank,>5Y,5.008333333333333,5.449999999999999,4,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/25082025-05092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-05,non_bank_corp,<=3Y,6.14757281553398,6.19,2,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/25082025-05092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-05,non_bank_corp,>5Y,5.3,5.3,1,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/25082025-05092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-12,bank,<=3Y,5.766666666666667,5.85,3,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/08092025-12092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-12,non_bank_corp,<=3Y,8.95,8.95,1,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/08092025-12092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-19,bank,<=3Y,6.083333333333333,5.85,5,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/15092025-19092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-19,bank,>5Y,6.430769230769231,7.399999999999999,2,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/15092025-19092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-19,non_bank_corp,3Y_5Y,8.5,8.5,1,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/15092025-19092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-19,non_bank_corp,<=3Y,8.95,8.95,1,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/15092025-19092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-19,non_bank_corp,>5Y,7.713513513513513,7.55,2,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/15092025-19092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-26,bank,3Y_5Y,5.8,5.8,1,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/22092025-26092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-26,bank,<=3Y,7.31,7.675,2,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/22092025-26092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-26,bank,>5Y,6.376392496392497,6.08,8,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/22092025-26092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-26,non_bank_corp,3Y_5Y,9.2,9.2,1,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/22092025-26092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-26,non_bank_corp,<=3Y,5.8171567141558045,5.6,3,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/22092025-26092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2025-09-26,non_bank_corp,>5Y,5.85,5.85,1,vbma_weekly:https://vbma.org.vn/storage/reports/September2025/22092025-26092025  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
