Ma CP,Ngay chot,Noi dung,Ty le tien (%)
MBB,13/08/2025,"® 13/08/2025 Cổ tức bằng Cổ phiếu, tỷ lệ 100:32. Cổ tức bằng Tiền, tỷ lệ 100:3",3
MBB,14/06/2023,"© 14/06/2023 Cổ tức bằng Tiền, tỷ lệ 5%",5
VCB,3/10/2025,"© 03/10/2025 Cổ tức bằng Tiền, tỷ lệ 4.5%",4.5
VCB,22/12/2021,"© 22/12/2021 Cổ tức bằng Cổ phiếu, tỷ lệ 1000:276. Cổ tức bằng Tiền, tỷ lệ 12%",12
VCB,21/12/2020,"® 21/12/2020 Cổ tức bằng Tiền, tỷ lệ 8%",8
BID,14/10/2025,"© 14/10/2025 Cổ tức bằng Tiền, tỷ lệ 4.5%",4.5
BID,23/12/2021,"® 23/12/2021 Cổ tức bằng Cổ phiếu, tỷ lệ 3.88:1. Cổ tức bằng Tiền, tỷ lệ 2%",2
BID,31/12/2020,"© 31/12/2020 Cổ tức bằng Tiền, tỷ lệ 8%",8
CTG,14/10/2025,"© 14/10/2025 Cổ tức bằng Tiền, tỷ lệ 4.5%",4.5
CTG,14/12/2021,"® 14/12/2021 Cổ tức bằng Tiền, tỷ lệ 8%",8
CTG,17/12/2020,"© 17/12/2020 Cổ tức bằng Tiền, tỷ lệ 5%",5
TCB,30/09/2025,"© 30/09/2025 Cổ tức bằng Tiền, tỷ lệ 10%",10
TCB,21/05/2024,"® 21/05/2024 Cổ tức bằng Tiền, tỷ lệ 16%",16
VPB,15/05/2025,"® 15/05/2025 Cổ tức bằng Tiền, tỷ lệ 5%",5
VPB,22/05/2024,"® 22/05/2024 Cồ tức bằng Tiền, tỷ lệ 10%.",10
VPB,9/11/2023,"® 09/11/2023 Cồ tức bằng Tiền, tỷ lệ 10%.",10
ACB,23/05/2025,"© 23/05/2025 Cổ tức bằng Cồ phiếu, tỷ lệ 10:15. Cổ tức bằng Tiền, tỷ lệ 10%.",10
ACB,31/05/2024,"© 31/05/2024 Cổ tức bằng Cồ phiếu, tỷ lệ 10:15. Cổ tức bằng Tiền, tỷ lệ 10%.",10
ACB,1/6/2023,"© 01/06/2023 Cổ tức bằng Cồ phiếu, tỷ lệ 10:15. Cổ tức bằng Tiền, tỷ lệ 10%.",10
SHB,9/6/2025,"© 09/06/2025 Cổ tức bằng Tiền, tỷ lệ 5%",5
SHB,18/07/2024,"® 18/07/2024 Cổ tức bằng Tiền, tỷ lệ 5%",5
HDB,12/7/2024,"© 12/07/2024 Cổ tức bằng Tiền, tỷ lệ 10%.",10
HDB,29/05/2023,"® 29/05/2023 Cổ tức bằng Tiền, tỷ lệ 10%.",10
VIB,22/04/2025,"© 22/04/2025 Cổ tức bằng Tiền, tỷ lệ 7%",7
VIB,17/04/2024,"® 17/04/2024 Cổ tức bằng Tiền, tỷ lệ 6.5%",6.5
VIB,19/01/2024,"® 19/01/2024 Cổ tức bằng Tiền, tỷ lệ 6%",6
VIB,6/4/2023,"® 06/04/2023 Cổ tức bằng Tiền, tỷ lệ 5%",5
VIB,9/2/2023,"© 09/02/2023 Cổ tức bằng Tiền, tỷ lệ 10%.",10
LPB,19/05/2025,"© 19/05/2025 Cổ tức bằng Tiền, tỷ lệ 25%",25
EIB,19/09/2024,"© 19/09/2024 Cổ tức bằng Cổ phiếu, tỷ lệ 100:7. Cổ tức bằng Tiền, tỷ lệ 3%",3
OCB,17/07/2025,"® 17/07/2025 Cổ tức bằng Tiền, tỷ lệ 7%",7
TPB,20/06/2024,"© 20/06/2024 Cổ tức bằng Tiền, tỷ lệ 5%.",5
TPB,20/03/2023,"© 20/03/2023 Cổ tức bằng Tiền, tỷ lệ 25%",25
