Ngày Tháng Năm,VIC,VHM,VRE,VN30F1M
11/6/2017,22.22,17.47,32.15,845.0
11/7/2017,22.77,17.47,32.15,847.0
11/8/2017,24.06,17.47,32.15,857.0
11/9/2017,25.2,17.47,32.15,857.3
11/10/2017,24.24,17.47,34.37,857.3
11/13/2017,25.2,17.47,36.75,863.5
11/14/2017,25.2,17.47,37.26,869.7
11/15/2017,25.34,17.47,35.28,877.0
11/16/2017,25.67,17.47,34.89,888.1
11/17/2017,26.22,17.47,35.36,903.0
11/20/2017,28.02,17.47,37.82,930.0
11/21/2017,28.28,17.47,40.44,958.0
11/22/2017,27.91,17.47,40.91,975.0
11/23/2017,28.1,17.47,41.23,950.0
11/24/2017,27.36,17.47,40.12,938.0
11/27/2017,27.91,17.47,40.52,946.0
11/28/2017,27.99,17.47,39.49,946.5
11/29/2017,27.99,17.47,39.17,960.0
11/30/2017,27.36,17.47,38.85,958.0
12/1/2017,27.4,17.47,39.25,963.6
12/4/2017,27.95,17.47,39.25,988.0
12/5/2017,26.81,17.47,38.06,955.0
12/6/2017,26.81,17.47,37.34,949.0
12/7/2017,26.45,17.47,36.47,937.0
12/8/2017,26.81,17.47,37.26,936.0
12/11/2017,26.45,17.47,35.68,900.0
12/12/2017,26.15,17.47,36.47,905.0
12/13/2017,26.45,17.47,36.35,910.0
12/14/2017,26.45,17.47,35.84,928.0
12/15/2017,25.78,17.47,36.39,935.0
12/18/2017,27.18,17.47,36.71,958.0
12/19/2017,27.0,17.47,36.71,942.5
12/20/2017,27.0,17.47,36.31,949.0
12/21/2017,26.81,17.47,38.22,937.8
12/22/2017,27.77,17.47,37.9,956.0
12/25/2017,28.65,17.47,37.26,961.3
12/26/2017,28.65,17.47,38.06,976.0
12/27/2017,28.36,17.47,37.62,966.0
12/28/2017,28.43,17.47,37.19,977.9
12/29/2017,28.39,17.47,37.38,980.0
1/2/2018,28.72,17.47,37.54,999.0
1/3/2018,29.57,17.47,37.58,1012.8
1/4/2018,29.75,17.47,37.42,1023.9
1/5/2018,29.38,17.47,37.26,1012.0
1/8/2018,29.49,17.47,36.79,1030.0
1/9/2018,29.6,17.47,37.26,1042.0
1/10/2018,29.68,17.47,39.49,1040.0
1/11/2018,29.75,17.47,41.15,1052.8
1/12/2018,31.37,17.47,43.61,1051.5
1/15/2018,32.03,17.47,43.29,1059.0
1/16/2018,31.59,17.47,42.74,1058.0
1/17/2018,30.85,17.47,43.61,1024.0
1/18/2018,31.0,17.47,45.59,1044.3
1/19/2018,30.85,17.47,48.37,1052.5
1/22/2018,31.22,17.47,47.18,1089.8
1/23/2018,31.22,17.47,47.18,1100.0
1/24/2018,31.22,17.47,47.18,1103.0
1/25/2018,31.26,17.47,44.4,1119.0
1/26/2018,31.4,17.47,43.61,1111.0
1/29/2018,31.4,17.47,43.61,1093.0
1/30/2018,31.22,17.47,43.77,1105.0
1/31/2018,31.59,17.47,43.93,1085.0
2/1/2018,31.81,17.47,43.61,1080.0
2/2/2018,32.03,17.47,43.69,1087.0
2/5/2018,29.79,17.47,40.67,1042.0
2/6/2018,29.79,17.47,37.86,1000.0
2/7/2018,29.75,17.47,40.44,1020.0
2/8/2018,29.02,17.47,38.85,1004.5
2/9/2018,28.72,17.47,37.86,1000.0
2/12/2018,30.71,17.47,37.86,1039.0
2/13/2018,31.62,17.47,38.1,1053.5
2/21/2018,33.06,17.47,39.25,1082.0
2/22/2018,33.24,17.47,39.56,1059.9
2/23/2018,33.64,17.47,40.91,1106.0
2/26/2018,34.89,17.47,43.61,1108.2
2/27/2018,34.34,17.47,43.53,1112.0
2/28/2018,34.86,17.47,42.66,1105.0
3/1/2018,34.53,17.47,43.93,1105.5
