Ticker,industry_code,industry_name,exchange
OCH,25,"Dịch vụ lưu trú, ăn uống, giải trí",HNX
VPL,25,"Dịch vụ lưu trú, ăn uống, giải trí",HOSE
C69,24,Xây dựng,HNX
CII,24,Xây dựng,HOSE
CTD,24,Xây dựng,HOSE
CTI,24,Xây dựng,HOSE
DC4,24,Xây dựng,HOSE
DPG,24,Xây dựng,HOSE
FCN,24,Xây dựng,HOSE
HHV,24,Xây dựng,HOSE
HTI,24,Xây dựng,HOSE
HTN,24,Xây dựng,HOSE
HUB,24,Xây dựng,HOSE
HUT,24,Xây dựng,HNX
HVH,24,Xây dựng,HOSE
L18,24,Xây dựng,HNX
L40,24,Xây dựng,HNX
LCG,24,Xây dựng,HOSE
LIG,24,Xây dựng,HNX
MCO,24,Xây dựng,HNX
MST,24,Xây dựng,HNX
PC1,24,Xây dựng,HOSE
REE,24,Xây dựng,HOSE
S99,24,Xây dựng,HNX
SCG,24,Xây dựng,HNX
SCI,24,Xây dựng,HNX
SJE,24,Xây dựng,HNX
THD,24,Xây dựng,HNX
TSA,24,Xây dựng,HOSE
VC2,24,Xây dựng,HNX
VC9,24,Xây dựng,HNX
VCG,24,Xây dựng,HOSE
VNE,24,Xây dựng,HOSE
CTF,7,Bán lẻ,HOSE
FRT,7,Bán lẻ,HOSE
HAX,7,Bán lẻ,HOSE
MWG,7,Bán lẻ,HOSE
PNJ,7,Bán lẻ,HOSE
AAN,12,Nông - Lâm - Ngư,HOSE
CTP,12,Nông - Lâm - Ngư,HNX
HAG,12,Nông - Lâm - Ngư,HOSE
HPA,12,Nông - Lâm - Ngư,HOSE
HSL,12,Nông - Lâm - Ngư,HOSE
SVN,12,Nông - Lâm - Ngư,HNX
TV2,28,"Dịch vụ tư vấn, hỗ trợ",HOSE
ACB,11,Ngân hàng,HOSE
BID,11,Ngân hàng,HOSE
CTG,11,Ngân hàng,HOSE
EIB,11,Ngân hàng,HOSE
EVF,11,Ngân hàng,HOSE
HDB,11,Ngân hàng,HOSE
KLB,11,Ngân hàng,HOSE
LPB,11,Ngân hàng,HOSE
MBB,11,Ngân hàng,HOSE
MSB,11,Ngân hàng,HOSE
NAB,11,Ngân hàng,HOSE
NVB,11,Ngân hàng,HNX
OCB,11,Ngân hàng,HOSE
SHB,11,Ngân hàng,HOSE
SSB,11,Ngân hàng,HOSE
STB,11,Ngân hàng,HOSE
TCB,11,Ngân hàng,HOSE
TPB,11,Ngân hàng,HOSE
VAB,11,Ngân hàng,HOSE
VCB,11,Ngân hàng,HOSE
VIB,11,Ngân hàng,HOSE
VPB,11,Ngân hàng,HOSE
DBD,8,Chăm sóc sức khỏe,HOSE
DBT,8,Chăm sóc sức khỏe,HOSE
DCL,8,Chăm sóc sức khỏe,HOSE
DVM,8,Chăm sóc sức khỏe,HNX
FIT,8,Chăm sóc sức khỏe,HOSE
LDP,8,Chăm sóc sức khỏe,HNX
TNH,8,Chăm sóc sức khỏe,HOSE
OGC,29,Tài chính khác,HOSE
TVC,29,Tài chính khác,HNX
AFX,19,Thực phẩm - Đồ uống,HOSE
ANT,19,Thực phẩm - Đồ uống,HOSE
BAF,19,Thực phẩm - Đồ uống,HOSE
BNA,19,Thực phẩm - Đồ uống,HNX
DBC,19,Thực phẩm - Đồ uống,HOSE
KDC,19,Thực phẩm - Đồ uống,HOSE
LSS,19,Thực phẩm - Đồ uống,HOSE
MCH,19,Thực phẩm - Đồ uống,HOSE
MCM,19,Thực phẩm - Đồ uống,HOSE
MSN,19,Thực phẩm - Đồ uống,HOSE
NAF,19,Thực phẩm - Đồ uống,HOSE
PAN,19,Thực phẩm - Đồ uống,HOSE
SAB,19,Thực phẩm - Đồ uống,HOSE
SBT,19,Thực phẩm - Đồ uống,HOSE
VHE,19,Thực phẩm - Đồ uống,HNX
VNM,19,Thực phẩm - Đồ uống,HOSE
CSM,17,Sản phẩm cao su,HOSE
DRC,17,Sản phẩm cao su,HOSE
NAG,15,"SX Thiết bị, máy móc",HNX
SBG,15,"SX Thiết bị, máy móc",HOSE
ASP,22,Tiện ích,HOSE
BWE,22,Tiện ích,HOSE
DTK,22,Tiện ích,HNX
GAS,22,Tiện ích,HOSE
GEG,22,Tiện ích,HOSE
HID,22,Tiện ích,HOSE
IDC,22,Tiện ích,HNX
NT2,22,Tiện ích,HOSE
PGC,22,Tiện ích,HOSE
POW,22,Tiện ích,HOSE
PPC,22,Tiện ích,HOSE
PVG,22,Tiện ích,HNX
SIP,22,Tiện ích,HOSE
SJD,22,Tiện ích,HOSE
TTA,22,Tiện ích,HOSE
DL1,23,Vận tải - kho bãi,HNX
DXP,23,Vận tải - kho bãi,HNX
GMD,23,Vận tải - kho bãi,HOSE
GSP,23,Vận tải - kho bãi,HOSE
HAH,23,Vận tải - kho bãi,HOSE
HVN,23,Vận tải - kho bãi,HOSE
ILB,23,Vận tải - kho bãi,HOSE
PVP,23,Vận tải - kho bãi,HOSE
PVT,23,Vận tải - kho bãi,HOSE
SCS,23,Vận tải - kho bãi,HOSE
TCO,23,Vận tải - kho bãi,HOSE
VIP,23,Vận tải - kho bãi,HOSE
VJC,23,Vận tải - kho bãi,HOSE
VOS,23,Vận tải - kho bãi,HOSE
VSC,23,Vận tải - kho bãi,HOSE
VTO,23,Vận tải - kho bãi,HOSE
VTP,23,Vận tải - kho bãi,HOSE
BIC,2,Bảo hiểm,HOSE
BMI,2,Bảo hiểm,HOSE
BVH,2,Bảo hiểm,HOSE
MIG,2,Bảo hiểm,HOSE
PVI,2,Bảo hiểm,HNX
BCC,21,Vật liệu xây dựng,HNX
CRC,21,Vật liệu xây dựng,HOSE
FCM,21,Vật liệu xây dựng,HOSE
HPG,21,Vật liệu xây dựng,HOSE
HSG,21,Vật liệu xây dựng,HOSE
HT1,21,Vật liệu xây dựng,HOSE
LBM,21,Vật liệu xây dựng,HOSE
NKG,21,Vật liệu xây dựng,HOSE
NSH,21,Vật liệu xây dựng,HNX
TEG,21,Vật liệu xây dựng,HOSE
VGC,21,Vật liệu xây dựng,HOSE
VGS,21,Vật liệu xây dựng,HNX
DGW,1,Bán buôn,HOSE
FID,1,Bán buôn,HNX
GEL,1,Bán buôn,HOSE
HHS,1,Bán buôn,HOSE
JVC,1,Bán buôn,HOSE
MCF,1,Bán buôn,HNX
PET,1,Bán buôn,HOSE
PLX,1,Bán buôn,HOSE
PPT,1,Bán buôn,HNX
SMC,1,Bán buôn,HOSE
ST8,1,Bán buôn,HOSE
TLH,1,Bán buôn,HOSE
TSC,1,Bán buôn,HOSE
TTH,1,Bán buôn,HNX
VPG,1,Bán buôn,HOSE
VTV,1,Bán buôn,HNX
VVS,1,Bán buôn,HOSE
ADS,16,SX Hàng gia dụng,HOSE
EVE,16,SX Hàng gia dụng,HOSE
GDT,16,SX Hàng gia dụng,HOSE
GIL,16,SX Hàng gia dụng,HOSE
MSH,16,SX Hàng gia dụng,HOSE
RYG,16,SX Hàng gia dụng,HOSE
STK,16,SX Hàng gia dụng,HOSE
SVD,16,SX Hàng gia dụng,HOSE
TCM,16,SX Hàng gia dụng,HOSE
TDT,16,SX Hàng gia dụng,HNX
TNG,16,SX Hàng gia dụng,HNX
TTF,16,SX Hàng gia dụng,HOSE
AAA,18,SX Nhựa - Hóa chất,HOSE
ABS,18,SX Nhựa - Hóa chất,HOSE
APH,18,SX Nhựa - Hóa chất,HOSE
BFC,18,SX Nhựa - Hóa chất,HOSE
BMP,18,SX Nhựa - Hóa chất,HOSE
BXH,18,SX Nhựa - Hóa chất,HNX
CSV,18,SX Nhựa - Hóa chất,HOSE
DCM,18,SX Nhựa - Hóa chất,HOSE
DGC,18,SX Nhựa - Hóa chất,HOSE
DPM,18,SX Nhựa - Hóa chất,HOSE
DPR,18,SX Nhựa - Hóa chất,HOSE
GVR,18,SX Nhựa - Hóa chất,HOSE
HCD,18,SX Nhựa - Hóa chất,HOSE
HII,18,SX Nhựa - Hóa chất,HOSE
LAS,18,SX Nhựa - Hóa chất,HNX
NTP,18,SX Nhựa - Hóa chất,HNX
PCH,18,SX Nhựa - Hóa chất,HNX
PHR,18,SX Nhựa - Hóa chất,HOSE
TDP,18,SX Nhựa - Hóa chất,HOSE
VTZ,18,SX Nhựa - Hóa chất,HNX
AGR,5,Chứng khoán,HOSE
APG,5,Chứng khoán,HOSE
APS,5,Chứng khoán,HNX
BSI,5,Chứng khoán,HOSE
BVS,5,Chứng khoán,HNX
CTS,5,Chứng khoán,HOSE
DSC,5,Chứng khoán,HOSE
DSE,5,Chứng khoán,HOSE
EVS,5,Chứng khoán,HNX
FTS,5,Chứng khoán,HOSE
HCM,5,Chứng khoán,HOSE
IVS,5,Chứng khoán,HNX
MBS,5,Chứng khoán,HNX
ORS,5,Chứng khoán,HOSE
PSI,5,Chứng khoán,HNX
SHS,5,Chứng khoán,HNX
SSI,5,Chứng khoán,HOSE
TCI,5,Chứng khoán,HOSE
TCX,5,Chứng khoán,HOSE
TVS,5,Chứng khoán,HOSE
VCI,5,Chứng khoán,HOSE
VCK,5,Chứng khoán,HOSE
VDS,5,Chứng khoán,HOSE
VFS,5,Chứng khoán,HNX
VIG,5,Chứng khoán,HNX
VIX,5,Chứng khoán,HOSE
VND,5,Chứng khoán,HOSE
VPX,5,Chứng khoán,HOSE
AMV,26,SX Phụ trợ,HNX
BKG,26,SX Phụ trợ,HOSE
BSR,26,SX Phụ trợ,HOSE
DHC,26,SX Phụ trợ,HOSE
DLG,26,SX Phụ trợ,HOSE
HHP,26,SX Phụ trợ,HOSE
INN,26,SX Phụ trợ,HNX
NHT,26,SX Phụ trợ,HOSE
PLC,26,SX Phụ trợ,HNX
PTB,26,SX Phụ trợ,HOSE
SHI,26,SX Phụ trợ,HOSE
TLD,26,SX Phụ trợ,HOSE
TLG,26,SX Phụ trợ,HOSE
BMC,10,Khai khoáng,HOSE
CST,10,Khai khoáng,HNX
DHA,10,Khai khoáng,HOSE
KSB,10,Khai khoáng,HOSE
KSV,10,Khai khoáng,HNX
NBC,10,Khai khoáng,HNX
NNC,10,Khai khoáng,HOSE
PVB,10,Khai khoáng,HNX
PVC,10,Khai khoáng,HNX
PVD,10,Khai khoáng,HOSE
PVS,10,Khai khoáng,HNX
THT,10,Khai khoáng,HNX
TNT,10,Khai khoáng,HOSE
TVD,10,Khai khoáng,HNX
CMG,6,Công nghệ và thông tin,HOSE
CTR,6,Công nghệ và thông tin,HOSE
DST,6,Công nghệ và thông tin,HNX
ELC,6,Công nghệ và thông tin,HOSE
FPT,6,Công nghệ và thông tin,HOSE
ANV,20,Chế biến Thủy sản,HOSE
ASM,20,Chế biến Thủy sản,HOSE
IDI,20,Chế biến Thủy sản,HOSE
VHC,20,Chế biến Thủy sản,HOSE
GEE,27,Thiết bị điện,HOSE
GEX,27,Thiết bị điện,HOSE
MBG,27,Thiết bị điện,HNX
PAC,27,Thiết bị điện,HOSE
SAM,27,Thiết bị điện,HOSE
AGG,3,Bất động sản,HOSE
API,3,Bất động sản,HNX
BCE,3,Bất động sản,HOSE
BCM,3,Bất động sản,HOSE
CCL,3,Bất động sản,HOSE
CDC,3,Bất động sản,HOSE
CEO,3,Bất động sản,HNX
CKG,3,Bất động sản,HOSE
CRE,3,Bất động sản,HOSE
D2D,3,Bất động sản,HOSE
DIG,3,Bất động sản,HOSE
DRH,3,Bất động sản,HOSE
DTA,3,Bất động sản,HOSE
DTD,3,Bất động sản,HNX
DXG,3,Bất động sản,HOSE
DXS,3,Bất động sản,HOSE
EVG,3,Bất động sản,HOSE
FIR,3,Bất động sản,HOSE
HAR,3,Bất động sản,HOSE
HDC,3,Bất động sản,HOSE
HDG,3,Bất động sản,HOSE
HPX,3,Bất động sản,HOSE
HQC,3,Bất động sản,HOSE
IDJ,3,Bất động sản,HNX
IJC,3,Bất động sản,HOSE
ITC,3,Bất động sản,HOSE
KBC,3,Bất động sản,HOSE
KDH,3,Bất động sản,HOSE
KHG,3,Bất động sản,HOSE
KOS,3,Bất động sản,HOSE
KSF,3,Bất động sản,HNX
L14,3,Bất động sản,HNX
LDG,3,Bất động sản,HOSE
LGL,3,Bất động sản,HOSE
LHG,3,Bất động sản,HOSE
NDN,3,Bất động sản,HNX
NHA,3,Bất động sản,HOSE
NLG,3,Bất động sản,HOSE
NRC,3,Bất động sản,HNX
NTL,3,Bất động sản,HOSE
NVL,3,Bất động sản,HOSE
PDR,3,Bất động sản,HOSE
PV2,3,Bất động sản,HNX
QCG,3,Bất động sản,HOSE
RCL,3,Bất động sản,HNX
SCR,3,Bất động sản,HOSE
SGR,3,Bất động sản,HOSE
SZC,3,Bất động sản,HOSE
TAL,3,Bất động sản,HOSE
TCH,3,Bất động sản,HOSE
TDC,3,Bất động sản,HOSE
TDH,3,Bất động sản,HOSE
TIG,3,Bất động sản,HNX
VC3,3,Bất động sản,HNX
VC7,3,Bất động sản,HNX
VHM,3,Bất động sản,HOSE
VIC,3,Bất động sản,HOSE
VPH,3,Bất động sản,HOSE
VPI,3,Bất động sản,HOSE
VRC,3,Bất động sản,HOSE
VRE,3,Bất động sản,HOSE
