ticker,company_name,sector,period,corporate_health_score,working_capital_stress_score,leverage_stress_score,matrix_consistency_score,primary_flag,flag_count,alert_level
SBT,Thanh Thanh Cong - Bien Hoa Joint Stock Company,Food & Beverage,2026Q1,1.9497344154176126,83.33333333333333,98.14814814814815,56.21989648802135,Leverage-Funded Growth,3,Critical
NKG,Nam Kim Steel Joint Stock Company,Basic Resources,2026Q1,10.515491484256486,66.66666666666666,94.44444444444444,49.15704884205405,Leverage-Funded Growth,2,Critical
CII,Ho Chi Minh City Infrastructure Investment Joint Stock Company,Construction & Materials,2026Q1,12.237370036369022,73.4375,87.5,47.003409235664265,Working Capital Absorption,4,Critical
DPM,Petrovietnam Fertilizer and Chemicals Corporation,Chemicals,2026Q1,22.574537179359,68.75,70.83333333333333,54.06584241662263,Accounting Profit Risk,3,Critical
KBC,Kinh Bac City Development Holding Corporation,Real Estate,2026Q1,25.38465640000415,77.77777777777777,74.29193899782136,48.23168803903933,Accounting Profit Risk,3,Critical
STB,SaiGon Thuong Tin Commercial Joint Stock Bank,Banks,2026Q1,27.34300390075091,41.17647058823529,70.58823529411764,63.39522504693544,Margin Compression,2,Critical
KOS,KOSY Joint Stock Company,Real Estate,2026Q1,28.052611842046524,44.44444444444444,70.4520697167756,53.24548097574721,High Leverage Stress,1,Critical
EIB,Vietnam Export Import Commercial Joint Stock Bank,Banks,2026Q1,28.179793301962803,14.705882352941178,76.47058823529412,44.83689542411447,Leverage-Funded Growth,2,Critical
VPI,Van Phu Real Estate Development Joint Stock Company,Real Estate,2026Q1,28.260291736178804,56.94444444444445,79.16666666666667,54.69428583007054,Working Capital Absorption,4,Critical
HSG,Hoa Sen Group,Basic Resources,2026Q1,28.298910834172915,49.99999999999999,66.66666666666667,51.492102507049374,Accounting Profit Risk,1,Critical
GEX,Gelex Group Joint Stock Company,Industrial Goods & Services,2026Q1,29.450851730877346,90.0,76.66666666666667,55.78995496478851,Accounting Profit Risk,5,Critical
