ticker,period,period_order,left_core,right_core,correlation,expected_direction,consistency_score,diagnostic_label,severity
ACB,2018Q1,8073,growth_score,profitability_score,,1,,Insufficient Data,Insufficient Data
ACB,2018Q1,8073,profitability_score,cash_conversion_score,,1,,Insufficient Data,Insufficient Data
ACB,2018Q1,8073,growth_score,working_capital_stress_score,,-1,,Insufficient Data,Insufficient Data
ACB,2018Q1,8073,cash_conversion_score,balance_sheet_resilience_score,,1,,Insufficient Data,Insufficient Data
ACB,2018Q1,8073,growth_score,capital_allocation_score,,1,,Insufficient Data,Insufficient Data
ACB,2018Q1,8073,profitability_score,balance_sheet_resilience_score,,1,,Insufficient Data,Insufficient Data
ACB,2018Q2,8074,growth_score,profitability_score,,1,,Insufficient Data,Insufficient Data
ACB,2018Q2,8074,profitability_score,cash_conversion_score,,1,,Insufficient Data,Insufficient Data
ACB,2018Q2,8074,growth_score,working_capital_stress_score,,-1,,Insufficient Data,Insufficient Data
ACB,2018Q2,8074,cash_conversion_score,balance_sheet_resilience_score,,1,,Insufficient Data,Insufficient Data
ACB,2018Q2,8074,growth_score,capital_allocation_score,,1,,Insufficient Data,Insufficient Data
ACB,2018Q2,8074,profitability_score,balance_sheet_resilience_score,,1,,Insufficient Data,Insufficient Data
ACB,2018Q3,8075,growth_score,profitability_score,,1,,Insufficient Data,Insufficient Data
ACB,2018Q3,8075,profitability_score,cash_conversion_score,,1,,Insufficient Data,Insufficient Data
ACB,2018Q3,8075,growth_score,working_capital_stress_score,,-1,,Insufficient Data,Insufficient Data
ACB,2018Q3,8075,cash_conversion_score,balance_sheet_resilience_score,,1,,Insufficient Data,Insufficient Data
ACB,2018Q3,8075,growth_score,capital_allocation_score,,1,,Insufficient Data,Insufficient Data
ACB,2018Q3,8075,profitability_score,balance_sheet_resilience_score,,1,,Insufficient Data,Insufficient Data
ACB,2018Q4,8076,growth_score,profitability_score,,1,,Insufficient Data,Insufficient Data
ACB,2018Q4,8076,profitability_score,cash_conversion_score,,1,,Insufficient Data,Insufficient Data
ACB,2018Q4,8076,growth_score,working_capital_stress_score,,-1,,Insufficient Data,Insufficient Data
ACB,2018Q4,8076,cash_conversion_score,balance_sheet_resilience_score,,1,,Insufficient Data,Insufficient Data
ACB,2018Q4,8076,growth_score,capital_allocation_score,,1,,Insufficient Data,Insufficient Data
ACB,2018Q4,8076,profitability_score,balance_sheet_resilience_score,,1,,Insufficient Data,Insufficient Data
ACB,2019Q1,8077,growth_score,profitability_score,,1,,Insufficient Data,Insufficient Data
