sector,period,period_order,sector_health_score,corporate_health_score_median,sector_growth_score,growth_score_median,sector_profitability_score,profitability_score_median,sector_cash_conversion_score,cash_conversion_score_median,sector_working_capital_stress,working_capital_stress_score_median,sector_leverage_stress,leverage_stress_score_median,sector_balance_sheet_score,balance_sheet_resilience_score_median,sector_capital_allocation_score,capital_allocation_score_median,sector_matrix_consistency_score,matrix_consistency_score_median,company_count,sector_health_trend_yoy,sector_diffusion_label
Banks,2018Q1,8073,51.28184742647059,51.28184742647059,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,18,,Mixed / Divergent
Basic Resources,2018Q1,8073,51.28184742647059,51.28184742647059,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.99999999999999,50.0,50.0,50.0,50.0,50.0,50.0,4,,Mixed / Divergent
Chemicals,2018Q1,8073,51.345949965533094,49.53344996553309,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.99999999999999,50.416666666666664,42.5,50.0,50.0,50.0,50.0,4,,Mixed / Divergent
Construction & Materials,2018Q1,8073,51.40547375180541,49.49922375180541,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,53.57142857142857,50.80357142857143,41.66666666666667,50.0,50.0,50.0,50.0,8,,Mixed / Divergent
Financial Services,2018Q1,8073,50.41900690067694,48.626348170518206,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,52.77777777777778,59.82142857142857,47.16931216931217,42.261904761904766,50.0,50.0,50.0,50.0,9,,Mixed / Divergent
Food & Beverage,2018Q1,8073,51.281847426470584,49.892958537581706,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,44.44444444444444,50.0,50.0,50.0,50.0,10,,Mixed / Divergent
Health Care,2018Q1,8073,64.86930861475112,64.86930861475112,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,4.191489361702128,4.191489361702128,92.51002158495221,92.51002158495221,50.0,50.0,50.0,50.0,1,,Mixed Improvement
Industrial Goods & Services,2018Q1,8073,51.281847426470584,52.53184742647059,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,62.5,49.99999999999999,41.666666666666664,50.0,50.0,50.0,50.0,5,,Mixed / Divergent
Insurance,2018Q1,8073,52.68195599030038,52.68195599030038,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,45.75886524822695,45.75886524822695,54.859574468085114,54.859574468085114,50.0,50.0,50.0,50.0,1,,Mixed / Divergent
Oil & Gas,2018Q1,8073,50.95098107406251,50.95098107406251,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,51.54255319148937,51.54255319148937,49.39192106074621,49.39192106074621,50.0,50.0,50.0,50.0,2,,Mixed / Divergent
Personal & Household Goods,2018Q1,8073,57.773175330321195,57.773175330321195,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,22.578014184397162,22.578014184397162,64.77166204131976,64.77166204131976,50.0,50.0,50.0,50.0,2,,Mixed Improvement
Real Estate,2018Q1,8073,51.35307246987337,50.87216969209559,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,51.5625,50.46296296296296,50.97222222222223,50.0,50.0,50.0,50.0,18,,Mixed / Divergent
Retail,2018Q1,8073,51.28184742647059,51.28184742647059,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3,,Mixed / Divergent
Technology,2018Q1,8073,51.73451453302701,51.73451453302701,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,46.141843971631204,46.141843971631204,49.08418131359852,49.08418131359852,50.0,50.0,50.0,50.0,2,,Mixed / Divergent
Travel & Leisure,2018Q1,8073,56.62068955771962,56.62068955771962,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,34.42198581560284,34.42198581560284,69.12447322438072,69.12447322438072,50.0,50.0,50.0,50.0,2,,Mixed Improvement
Unknown,2018Q1,8073,66.03339649229505,66.03339649229505,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2.0638297872340425,2.0638297872340425,97.94893617021276,97.94893617021276,50.0,50.0,50.0,50.0,1,,Broad Improvement
Utilities,2018Q1,8073,51.28184742647059,50.03184742647059,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,55.0,50.0,46.66666666666667,50.0,50.0,50.0,50.0,6,,Mixed / Divergent
Banks,2018Q2,8074,51.278079044117646,51.278079044117646,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,18,,Mixed / Divergent
Basic Resources,2018Q2,8074,51.278079044117646,49.81974571078432,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,54.166666666666664,50.0,44.44444444444444,50.0,50.0,50.0,50.0,4,,Mixed / Divergent
Chemicals,2018Q2,8074,51.534489200367645,46.284489200367645,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,62.5,51.666666666666664,29.166666666666668,50.0,50.0,50.0,50.0,5,,Mixed / Divergent
Construction & Materials,2018Q2,8074,51.36965409992122,50.708939814206936,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.595238095238095,46.904761904761905,50.0,50.0,50.0,50.0,8,,Mixed / Divergent
Financial Services,2018Q2,8074,50.38674850096288,52.044486596200976,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,52.77777777777778,47.32142857142857,46.98412698412699,52.57936507936508,50.0,50.0,50.0,50.0,9,,Mixed / Divergent
Food & Beverage,2018Q2,8074,51.278079044117646,50.861412377450975,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,46.2962962962963,50.0,50.0,50.0,50.0,10,,Mixed / Divergent
Health Care,2018Q2,8074,65.17685904000581,65.17685904000581,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3.026315789473684,3.026315789473684,93.36842105263158,93.36842105263158,50.0,50.0,50.0,50.0,1,,Broad Improvement
Industrial Goods & Services,2018Q2,8074,51.278079044117646,53.153079044117646,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,37.5,50.0,50.0,50.0,50.0,5,,Mixed / Divergent
Insurance,2018Q2,8074,53.21734954165054,53.21734954165054,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,45.921052631578945,45.921052631578945,58.526315789473685,58.526315789473685,50.0,50.0,50.0,50.0,1,,Mixed / Divergent
Oil & Gas,2018Q2,8074,50.90872152328227,50.90872152328227,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,53.55263157894737,53.55263157894737,51.151806755695205,51.151806755695205,50.0,50.0,50.0,50.0,2,,Mixed / Divergent
Personal & Household Goods,2018Q2,8074,56.39205674312773,56.39205674312773,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,26.97368421052632,26.97368421052632,60.21455223880597,60.21455223880597,50.0,50.0,50.0,50.0,2,,Mixed Improvement
Real Estate,2018Q2,8074,51.34930408752043,50.54548464307598,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,54.6875,50.46296296296296,48.78472222222223,50.0,50.0,50.0,50.0,18,,Mixed / Divergent
Retail,2018Q2,8074,51.278079044117646,51.278079044117646,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3,,Mixed / Divergent
Technology,2018Q2,8074,51.01723760472743,51.01723760472743,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.276315789473685,49.276315789473685,47.58084577114428,47.58084577114428,50.0,50.0,50.0,50.0,2,,Mixed / Divergent
Travel & Leisure,2018Q2,8074,54.77535848045774,54.77535848045774,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,35.39473684210527,35.39473684210527,58.127062058130406,58.127062058130406,50.0,50.0,50.0,50.0,2,,Mixed / Divergent
Unknown,2018Q2,8074,65.8246320663216,65.8246320663216,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3.026315789473684,3.026315789473684,97.57894736842105,97.57894736842105,50.0,50.0,50.0,50.0,1,,Broad Improvement
Utilities,2018Q2,8074,51.278079044117646,48.778079044117646,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,60.0,50.0,43.333333333333336,50.0,50.0,50.0,50.0,6,,Mixed / Divergent
Banks,2018Q3,8075,51.13111213235294,51.13111213235294,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,18,,Mixed / Divergent
Basic Resources,2018Q3,8075,51.13111213235294,49.67277879901961,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,54.166666666666664,50.0,44.44444444444444,50.0,50.0,50.0,50.0,4,,Mixed / Divergent
Chemicals,2018Q3,8075,51.13111213235294,49.25611213235294,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5,,Mixed / Divergent
Construction & Materials,2018Q3,8075,51.24100219931723,50.68743077074579,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.714285714285715,45.23809523809524,50.0,50.0,50.0,50.0,8,,Mixed / Divergent
Financial Services,2018Q3,8075,50.359846662362855,47.87968793220413,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,52.77777777777778,58.92857142857143,47.76455026455026,41.42857142857142,50.0,50.0,50.0,50.0,9,,Mixed / Divergent
Food & Beverage,2018Q3,8075,51.13111213235294,51.5477787990196,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,47.22222222222222,50.0,50.0,50.0,50.0,10,,Mixed / Divergent
Health Care,2018Q3,8075,65.11086375653058,65.11086375653058,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3.026315789473684,3.026315789473684,93.89473684210526,93.89473684210526,50.0,50.0,50.0,50.0,1,,Broad Improvement
Industrial Goods & Services,2018Q3,8075,51.13111213235294,53.00611213235294,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,37.5,50.0,50.0,50.0,50.0,5,,Mixed / Divergent
Insurance,2018Q3,8075,53.08252837412926,53.08252837412926,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,46.31578947368421,46.31578947368421,59.0,59.0,50.0,50.0,50.0,50.0,1,,Mixed / Divergent
Oil & Gas,2018Q3,8075,51.837629281153255,51.837629281153255,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,48.0921052631579,48.0921052631579,52.68446852425181,52.68446852425181,50.0,50.0,50.0,50.0,2,,Mixed / Divergent
Personal & Household Goods,2018Q3,8075,55.500702391822266,55.500702391822266,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,29.407894736842106,29.407894736842106,57.81024251805985,57.81024251805985,50.0,50.0,50.0,50.0,2,,Mixed Improvement
Real Estate,2018Q3,8075,51.13111213235294,49.25611213235294,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,54.6875,50.0,46.875,50.0,50.0,50.0,50.0,18,,Mixed / Divergent
Retail,2018Q3,8075,51.13111213235294,51.13111213235294,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3,,Mixed / Divergent
Technology,2018Q3,8075,49.523587158958975,49.523587158958975,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,52.63157894736842,52.63157894736842,42.18266253869969,42.18266253869969,50.0,50.0,50.0,50.0,2,,Mixed / Divergent
Travel & Leisure,2018Q3,8075,56.726608874927436,56.726608874927436,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,32.63157894736842,32.63157894736842,69.00232198142415,69.00232198142415,50.0,50.0,50.0,50.0,2,,Mixed Improvement
Unknown,2018Q3,8075,65.67766515455689,65.67766515455689,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3.026315789473684,3.026315789473684,97.57894736842105,97.57894736842105,50.0,50.0,50.0,50.0,1,,Broad Improvement
Utilities,2018Q3,8075,51.13111213235294,49.13111213235294,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,55.0,50.0,43.333333333333336,50.0,50.0,50.0,50.0,6,,Mixed / Divergent
Banks,2018Q4,8076,51.97492630463644,54.978194278492644,50.0,50.0,50.0,55.3921568627451,50.0,50.0,50.0,50.0,50.0,42.64705882352942,50.0,54.90196078431372,50.0,51.470588235294116,75.27777777777777,100.0,18,,Mixed / Divergent
Basic Resources,2018Q4,8076,52.088886374080886,52.495136374080886,50.0,50.0,50.0,44.444444444444436,50.0,48.333333333333336,50.0,58.33333333333333,50.0,52.08333333333333,50.0,53.125,50.0,55.555555555555564,77.5,77.5,4,,Mixed / Divergent
Chemicals,2018Q4,8076,52.33247602251838,51.96997602251838,50.0,50.0,49.99999999999999,50.0,50.0,50.0,49.99999999999999,50.0,50.0,50.0,50.41666666666667,43.75,50.0,50.0,81.0,100.0,5,,Mixed / Divergent
Construction & Materials,2018Q4,8076,52.32123082370155,56.237056007941916,50.0,50.0,50.0,59.52380952380952,50.0,48.57142857142857,50.0,39.285714285714285,49.25595238095238,46.13095238095238,50.815795068027214,51.58163265306122,51.48809523809524,50.39682539682539,74.375,100.0,8,,Mixed / Divergent
Financial Services,2018Q4,8076,49.665975135714014,52.76640975400577,50.0,50.0,50.0,41.666666666666664,50.0,45.0,52.77777777777778,50.0,51.91798941798942,49.55357142857143,47.49622071050643,47.470238095238095,48.148148148148145,51.19047619047618,55.55555555555556,20.0,9,,Mixed / Divergent
Food & Beverage,2018Q4,8076,51.9986679857707,57.65723280058551,50.0,50.0,50.0,57.407407407407405,50.0,50.0,50.0,52.77777777777778,50.0,48.611111111111114,50.0,50.34722222222223,50.37037037037037,57.407407407407405,75.0,100.0,10,,Mixed / Divergent
Health Care,2018Q4,8076,56.50903429131467,56.50903429131467,50.0,50.0,43.61702127659574,43.61702127659574,42.795698924731184,42.795698924731184,58.46808510638298,58.46808510638298,5.3464912280701755,5.3464912280701755,91.38095238095238,91.38095238095238,15.171454555181086,15.171454555181086,55.0,55.0,1,,Mixed Improvement
Industrial Goods & Services,2018Q4,8076,52.576065670955884,48.10106567095588,50.0,50.0,50.0,41.666666666666664,50.0,35.0,50.0,62.5,50.0,43.75,50.0,43.75,52.5,52.77777777777778,82.0,100.0,5,,Mixed / Divergent
Insurance,2018Q4,8076,57.77441328638618,57.77441328638618,50.0,50.0,5.673758865248227,5.673758865248227,91.18279569892474,91.18279569892474,33.39716312056738,33.39716312056738,56.92251461988304,56.92251461988304,50.480367585630745,50.480367585630745,85.22976515273096,85.22976515273096,100.0,100.0,1,,Mixed Improvement
Oil & Gas,2018Q4,8076,49.30403842671697,49.30403842671697,50.0,50.0,5.319148936170213,5.319148936170213,55.59139784946237,55.59139784946237,32.8936170212766,32.8936170212766,53.01608187134503,53.01608187134503,51.751440488476085,51.751440488476085,66.0140159417964,66.0140159417964,100.0,100.0,2,,Mixed / Divergent
Personal & Household Goods,2018Q4,8076,46.78077598347949,46.78077598347949,50.0,50.0,32.6241134751773,32.6241134751773,26.129032258064512,26.129032258064512,43.18085106382979,43.18085106382979,29.179093567251464,29.179093567251464,60.65861498108015,60.65861498108015,43.29160648371048,43.29160648371048,37.5,37.5,2,,Mixed / Divergent
Real Estate,2018Q4,8076,51.478139108524275,52.29149986949533,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,48.4375,50.164128151260506,47.5,50.490196078431374,48.88888888888889,64.11764705882354,100.0,17,,Mixed / Divergent
Retail,2018Q4,8076,50.50769041053922,34.38269041053922,50.0,50.0,50.0,50.0,50.0,50.0,50.0,25.0,50.0,50.0,50.0,56.25,50.0,58.333333333333336,46.666666666666664,20.0,3,,Mixed / Divergent
Technology,2018Q4,8076,49.748806550152494,49.748806550152494,50.0,50.0,29.78723404255319,29.78723404255319,58.06451612903226,58.06451612903226,40.59929078014184,40.59929078014184,48.117690058479525,48.117690058479525,46.61936704506363,46.61936704506363,39.62713315144707,39.62713315144707,77.5,77.5,2,,Mixed / Divergent
Travel & Leisure,2018Q4,8076,69.41823288242597,69.41823288242597,50.0,50.0,60.81560283687943,60.81560283687943,56.98924731182796,56.98924731182796,26.680851063829785,26.680851063829785,22.737573099415204,22.737573099415204,71.50042385375203,71.50042385375203,63.97849462365591,63.97849462365591,100.0,100.0,2,,Broad Improvement
Unknown,2018Q4,8076,54.531140548419046,54.531140548419046,50.0,50.0,61.70212765957447,61.70212765957447,7.311827956989246,7.311827956989246,36.709219858156025,36.709219858156025,2.6842105263157894,2.6842105263157894,97.64912280701755,97.64912280701755,2.1505376344086047,2.1505376344086047,20.0,20.0,1,,Mixed / Divergent
Utilities,2018Q4,8076,52.088886374080886,48.463886374080886,50.0,50.0,50.0,60.0,50.0,54.0,50.0,40.0,50.0,57.5,50.0,43.75,50.0,43.333333333333336,77.5,77.5,6,,Mixed / Divergent
Banks,2019Q1,8077,52.43923561325572,54.744791168811275,50.0,41.17647058823529,50.0,53.529411764705884,50.0,53.52941176470588,50.0,50.0,50.0,45.588235294117645,50.0,53.67647058823529,50.0,50.73529411764706,81.38888888888889,88.75,18,1.157388186785127,Mixed / Divergent
Basic Resources,2019Q1,8077,51.79108771829044,55.423032162734884,50.0,49.99999999999999,50.0,50.0,50.0,38.33333333333333,50.0,50.0,50.0,56.24999999999999,50.0,47.222222222222214,50.0,55.0,68.75,68.75,4,0.5092402918198502,Mixed / Divergent
Chemicals,2019Q1,8077,52.00903635110294,50.859036351102944,50.0,49.99999999999999,49.99999999999999,50.0,49.99999999999999,53.33333333333333,50.0,50.0,50.0,41.666666666666664,50.0,50.0,50.0,50.0,73.0,60.0,5,0.6630863855698479,Mixed / Divergent
Construction & Materials,2019Q1,8077,53.09865777848412,58.400413376556685,50.0,53.57142857142857,50.0,47.857142857142854,50.0,54.285714285714285,50.0,42.85714285714286,48.95833333333333,51.48809523809524,51.10337537792895,54.735449735449734,50.625,50.0,86.5625,88.75,8,1.6931840266787077,Mixed / Divergent
Financial Services,2019Q1,8077,50.984690213002885,53.23818999254432,50.0,50.0,50.0,42.5,50.0,50.0,52.77777777777778,50.0,52.74470899470899,37.5,48.15127131099353,57.460317460317455,50.208333333333336,48.92857142857143,74.72222222222223,77.5,9,0.5656833123259446,Mixed / Divergent
Food & Beverage,2019Q1,8077,52.24407924028119,50.40657924028118,49.99999999999999,52.77777777777777,50.0,47.77777777777777,50.0,48.88888888888889,50.0,52.77777777777778,50.0,50.0,50.0,50.0,50.166666666666664,48.47222222222223,77.25,88.75,10,0.9622318138106039,Mixed / Divergent
Health Care,2019Q1,8077,56.78649234267602,56.78649234267602,50.53191489361702,50.53191489361702,46.94960806270997,46.94960806270997,29.247311827956985,29.247311827956985,56.05263157894737,56.05263157894737,6.982323498992629,6.982323498992629,86.61551748503604,86.61551748503604,30.235743487213153,30.235743487213153,77.5,77.5,1,-8.0828162720751,Mixed Improvement
Industrial Goods & Services,2019Q1,8077,52.291087522977946,49.657754189644606,50.0,50.0,50.0,45.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,44.44444444444444,50.0,55.0,78.5,77.5,5,1.0092400965073622,Mixed / Divergent
Insurance,2019Q1,8077,54.128350636346234,54.128350636346234,48.40425531914893,48.40425531914893,8.909294512877938,8.909294512877938,82.58064516129032,82.58064516129032,34.60526315789474,34.60526315789474,56.874762397566954,56.874762397566954,48.61623340469815,48.61623340469815,67.46849293266888,67.46849293266888,100.0,100.0,1,1.446394646045853,Mixed / Divergent
Oil & Gas,2019Q1,8077,51.86024147924519,51.86024147924519,49.734042553191486,49.734042553191486,19.413213885778273,19.413213885778273,61.39784946236559,61.39784946236559,33.75,33.75,49.83410330121781,49.83410330121781,50.19571461331419,50.19571461331419,49.17459938527648,49.17459938527648,100.0,100.0,2,0.9092604051826783,Mixed / Divergent
Personal & Household Goods,2019Q1,8077,57.12696066147981,57.12696066147981,47.6063829787234,47.6063829787234,52.871220604703254,52.871220604703254,29.89247311827957,29.89247311827957,41.973684210526315,41.973684210526315,23.395416569065667,23.395416569065667,70.00498745873648,70.00498745873648,56.15260660678583,56.15260660678583,77.5,77.5,2,-0.646214668841381,Mixed Improvement
Real Estate,2019Q1,8077,51.89084642185053,49.961021316060354,50.0,53.125,49.06318082788671,51.98529411764706,50.0,50.0,50.0,55.882352941176464,49.741285403050114,49.26470588235294,50.11488970588235,52.19566993464053,49.230324074074076,50.19871794871795,74.86111111111111,68.75,18,0.5377739519771652,Mixed / Divergent
Retail,2019Q1,8077,52.32527554381127,34.70027554381127,50.0,50.0,50.0,40.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,55.55555555555556,50.0,55.0,79.16666666666667,77.5,3,1.0434281173406816,Mixed / Divergent
Technology,2019Q1,8077,59.435085742860295,59.435085742860295,76.59574468085106,76.59574468085106,44.69876819708847,44.69876819708847,46.12903225806451,46.12903225806451,37.23684210526316,37.23684210526316,49.166635466347174,49.166635466347174,48.93042508258098,48.93042508258098,47.59362597356092,47.59362597356092,88.75,88.75,2,7.700571209833285,Mixed Improvement
Travel & Leisure,2019Q1,8077,69.37391261373456,69.37391261373456,59.04255319148937,59.04255319148937,75.03247480403135,75.03247480403135,42.36559139784946,42.36559139784946,30.06578947368421,30.06578947368421,23.13597791241382,23.13597791241382,71.4730313602171,71.4730313602171,51.62319835277968,51.62319835277968,88.75,88.75,2,12.753223056014939,Broad Improvement
