sector,period,period_order,sector_health_score,corporate_health_score_median,sector_growth_score,growth_score_median,sector_profitability_score,profitability_score_median,sector_cash_conversion_score,cash_conversion_score_median,sector_working_capital_stress,working_capital_stress_score_median,sector_leverage_stress,leverage_stress_score_median,sector_balance_sheet_score,balance_sheet_resilience_score_median,sector_capital_allocation_score,capital_allocation_score_median,sector_matrix_consistency_score,matrix_consistency_score_median,company_count,sector_health_trend_yoy,sector_diffusion_label
Banks,2026Q1,8105,50.51660100702222,51.316873972652644,50.0,56.86274509803922,50.0,55.29411764705882,50.0,51.17647058823529,50.0,41.1764705882353,50.0,53.92156862745098,50.0,47.794117647058826,50.0,50.73529411764706,72.2593240351067,73.16097154453618,18,-1.0516633838871172,Mixed / Divergent
Basic Resources,2026Q1,8105,50.01009609954279,51.71469237068746,49.99999999999999,49.999999999999986,50.0,53.33333333333333,49.99999999999999,46.66666666666666,49.99999999999999,45.83333333333333,50.0,44.44444444444444,50.0,38.888888888888886,50.0,59.99999999999999,62.382474481113626,58.974399904007086,4,-1.3362013415946876,Mixed / Divergent
Chemicals,2026Q1,8105,50.0543374284955,47.25110014748649,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,45.833333333333336,50.0,63.888888888888886,50.0,55.0,63.245180732685796,60.097101779172334,5,-1.7286964510839553,Mixed / Divergent
Construction & Materials,2026Q1,8105,50.48419128603715,51.47167376288099,50.0,54.166666666666664,50.0,50.0,50.0,55.0,50.0,53.125,50.0,54.166666666666664,50.0,51.388888888888886,50.0,52.5,71.62733422902701,72.70857309065735,9,-0.9842140038270486,Mixed / Divergent
Financial Services,2026Q1,8105,49.25892481968834,43.50702161017122,50.0,57.291666666666664,50.0,45.0,50.0,47.5,50.0,50.0,53.279320987654316,55.80357142857142,47.366898148148145,45.96560846560846,50.173611111111114,50.0,65.12467509843327,62.94043009522636,9,-0.2934978887176882,Mixed / Divergent
Food & Beverage,2026Q1,8105,50.661535385735036,55.31953771070421,50.0,48.14814814814814,50.0,43.33333333333333,50.0,46.666666666666664,50.0,45.833333333333336,50.0,44.44444444444444,50.0,44.75308641975309,50.38888888888889,46.52777777777778,74.30776774622161,77.45264830804777,10,-0.7608651992794933,Mixed / Divergent
Health Care,2026Q1,8105,58.29023695789995,58.29023695789995,25.68027210884354,25.68027210884354,56.122448979591844,56.122448979591844,51.632653061224495,51.632653061224495,41.527383105140785,41.527383105140785,11.043274492049273,11.043274492049273,79.39679669336088,79.39679669336088,52.88979591836735,52.88979591836735,78.1655064577579,78.1655064577579,1,-0.17792149593597628,Mixed Improvement
Industrial Goods & Services,2026Q1,8105,50.15869598273517,51.90278790856083,50.0,56.666666666666664,50.0,44.0,50.0,54.0,50.0,47.5,50.0,51.66666666666667,50.0,41.111111111111114,50.0,48.0,65.28017333527836,68.40053234061219,6,-1.1233903041677067,Mixed / Divergent
Insurance,2026Q1,8105,38.1341016164487,38.1341016164487,42.3469387755102,42.3469387755102,14.489795918367346,14.489795918367346,46.734693877551024,46.734693877551024,27.644019633169723,27.644019633169723,76.02611460954127,76.02611460954127,36.25999333777482,36.25999333777482,58.481632653061226,58.481632653061226,59.43499594652822,59.43499594652822,1,-10.006683753025506,Weakening
Oil & Gas,2026Q1,8105,49.13259919993441,49.13259919993441,61.054421768707485,61.054421768707485,20.20408163265306,20.20408163265306,55.91836734693879,55.91836734693879,55.085572203564965,55.085572203564965,42.363486273124025,42.363486273124025,49.39215126423654,49.39215126423654,50.52925170068027,50.52925170068027,78.62159172878113,78.62159172878113,2,8.230472814520574,Mixed / Divergent
Personal & Household Goods,2026Q1,8105,65.4770226333133,65.4770226333133,63.94557823129252,63.94557823129252,56.020408163265316,56.020408163265316,51.0204081632653,51.0204081632653,38.18037974683544,38.18037974683544,22.067938624039016,22.067938624039016,72.51914445547261,72.51914445547261,48.13333333333333,48.13333333333333,83.01735832111788,83.01735832111788,2,14.904428687826439,Broad Improvement
Real Estate,2026Q1,8105,49.99560583586172,48.90386768161102,50.0,50.0,50.0,51.1111111111111,50.0,50.0,50.0,48.611111111111114,50.03898635477583,47.1677559912854,50.17259584145549,51.41612200435729,49.780701754385966,49.777777777777786,62.13768226014662,60.74143738131075,19,-1.414564099403492,Mixed / Divergent
Retail,2026Q1,8105,50.368441167814545,49.338472853028975,50.0,58.333333333333336,50.0,40.0,50.0,40.0,50.0,50.0,50.0,41.666666666666664,50.0,61.111111111111114,50.0,40.0,69.37020604199526,68.77083974628385,3,-1.5855806983939615,Mixed / Divergent
Technology,2026Q1,8105,47.46122199910962,47.46122199910962,32.993197278911566,32.993197278911566,48.87755102040816,48.87755102040816,48.163265306122454,48.163265306122454,35.76724360630328,35.76724360630328,48.13159175040515,48.13159175040515,53.32006175776995,53.32006175776995,38.65986394557824,38.65986394557824,73.96675131238572,73.96675131238572,2,-9.77242690776768,Mixed / Divergent
Travel & Leisure,2026Q1,8105,55.566183911434216,55.566183911434216,43.62244897959184,43.62244897959184,57.44897959183673,57.44897959183673,52.755102040816325,52.755102040816325,36.16518126237837,36.16518126237837,44.82859475455596,44.82859475455596,58.763994827333555,58.763994827333555,52.469387755102034,52.469387755102034,73.54822576480231,73.54822576480231,2,-6.532429444779943,Mixed Improvement
Utilities,2026Q1,8105,50.717750271966935,47.836336765994616,50.0,40.0,50.0,58.0,50.0,44.0,50.0,47.5,48.05555555555555,46.25,51.00529100529101,52.22222222222222,50.0,52.0,67.33252988451456,67.28234393989806,6,-0.7380818732046066,Mixed / Divergent
