sector,period,period_order,sector_health_score,corporate_health_score_median,sector_growth_score,growth_score_median,sector_profitability_score,profitability_score_median,sector_cash_conversion_score,cash_conversion_score_median,sector_working_capital_stress,working_capital_stress_score_median,sector_leverage_stress,leverage_stress_score_median,sector_balance_sheet_score,balance_sheet_resilience_score_median,sector_capital_allocation_score,capital_allocation_score_median,sector_matrix_consistency_score,matrix_consistency_score_median,company_count,sector_health_trend_yoy,sector_diffusion_label
Banks,2025Q4,8104,49.77597010073926,49.98225718969621,50.0,50.0,50.0,48.82352941176471,50.0,47.64705882352941,50.0,47.05882352941177,50.0,48.03921568627452,50.0,52.205882352941174,50.0,48.529411764705884,70.54153241032652,70.54557414152455,18,-1.9078081130280964,Mixed / Divergent
Basic Resources,2025Q4,8104,49.537544588645204,54.13418643163318,49.99999999999999,55.55555555555554,49.999999999999986,53.333333333333314,50.0,46.66666666666667,50.0,50.0,50.0,36.11111111111111,50.0,42.59259259259259,50.0,50.0,65.89223310836019,69.56937540752196,4,-1.7973334929287859,Mixed / Divergent
Chemicals,2025Q4,8104,49.689476300297905,54.391274563133855,50.0,37.5,50.0,45.0,50.0,50.0,50.0,56.25,50.0,50.0,50.0,61.111111111111114,50.0,50.0,68.85490264288056,68.5631131596822,5,-1.8139903828183392,Mixed / Divergent
Construction & Materials,2025Q4,8104,49.78684625013959,54.46040162613987,50.0,45.833333333333336,50.0,47.5,50.0,55.0,50.0,53.125,50.0,54.166666666666664,50.0,53.47222222222222,50.0,45.0,70.75361740647884,72.10639048799302,9,-1.795766827212944,Mixed / Divergent
Financial Services,2025Q4,8104,48.37466083196162,51.64950715546972,50.0,52.083333333333336,50.0,47.5,50.0,57.5,50.0,50.0,53.973765432098766,55.357142857142854,47.55428791887125,45.982142857142854,50.104166666666664,50.71428571428571,62.26609020147219,64.0094304211391,9,-1.522808981497647,Mixed / Divergent
Food & Beverage,2025Q4,8104,49.85009137195262,55.30823174675953,50.0,46.29629629629629,50.0,46.66666666666667,50.0,50.0,50.0,54.16666666666666,50.0,41.20370370370371,50.0,48.76543209876543,50.33333333333333,50.97222222222222,71.32023109691642,72.58916982523299,10,-1.7817380123425437,Mixed / Divergent
Health Care,2025Q4,8104,52.837224450733785,52.837224450733785,31.292517006802715,31.292517006802715,56.938775510204074,56.938775510204074,32.244897959183675,32.244897959183675,44.27215189873418,44.27215189873418,23.64941370133614,23.64941370133614,81.07416762430165,81.07416762430165,50.94421768707483,50.94421768707483,75.69249519496901,75.69249519496901,1,-3.02783587522962,Mixed / Divergent
Industrial Goods & Services,2025Q4,8104,49.50617712362478,46.93436704800709,50.0,48.33333333333333,50.0,44.0,50.0,48.0,50.0,50.0,50.0,56.66666666666667,50.0,46.66666666666667,50.0,52.0,65.2805673015297,65.04654912634501,6,-2.012235276698597,Mixed / Divergent
Insurance,2025Q4,8104,42.557591772925,42.557591772925,49.48979591836735,49.48979591836735,14.081632653061224,14.081632653061224,65.91836734693877,65.91836734693877,38.766468612761564,38.766468612761564,74.33334932109322,74.33334932109322,38.06751263183918,38.06751263183918,58.88979591836735,58.88979591836735,69.65144451166134,69.65144451166134,1,-6.414605345032868,Weakening
Oil & Gas,2025Q4,8104,42.53255091894067,42.53255091894067,47.61904761904762,47.61904761904762,22.755102040816325,22.755102040816325,44.897959183673464,44.897959183673464,48.789395505037454,48.789395505037454,48.15990895111335,48.15990895111335,48.58877089766942,48.58877089766942,42.20952380952381,42.20952380952381,81.24987325394983,81.24987325394983,2,-7.549983426330584,Weakening
Personal & Household Goods,2025Q4,8104,53.006697507042944,53.006697507042944,45.23809523809524,45.23809523809524,54.48979591836735,54.48979591836735,32.55102040816327,32.55102040816327,47.12412813226556,47.12412813226556,25.487401577155353,25.487401577155353,69.97697777469789,69.97697777469789,47.19863945578231,47.19863945578231,72.6933768383202,72.6933768383202,2,-1.903316532569633,Mixed / Divergent
Real Estate,2025Q4,8104,49.665552439451425,48.167752407650404,50.0,52.77777777777777,50.0,53.33333333333333,50.0,45.55555555555556,50.0,45.83333333333333,49.8469212246302,49.21568627450981,50.28451439055154,51.80192447349311,49.91959064327486,51.55555555555556,67.23642638982788,69.81473947929747,19,-1.7294697236386085,Mixed / Divergent
Retail,2025Q4,8104,50.03744908366084,57.45497233410067,50.0,33.333333333333336,50.0,30.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,61.111111111111114,50.0,60.0,75.6403745690326,70.65750624449576,3,-1.798369087092233,Mixed / Divergent
Technology,2025Q4,8104,48.33340395191015,48.33340395191015,45.408163265306115,45.408163265306115,48.97959183673469,48.97959183673469,47.142857142857146,47.142857142857146,49.22177731852234,49.22177731852234,51.0706283685547,51.0706283685547,53.98335191748646,53.98335191748646,46.58231292517007,46.58231292517007,76.6434047333916,76.6434047333916,2,-9.609451200293968,Mixed / Divergent
Travel & Leisure,2025Q4,8104,55.738057810045575,55.738057810045575,56.46258503401361,56.46258503401361,56.326530612244895,56.326530612244895,46.53061224489796,46.53061224489796,38.10341858262292,38.10341858262292,46.063922305178586,46.063922305178586,56.1877450972509,56.1877450972509,52.155102040816324,52.155102040816324,72.68937484753715,72.68937484753715,2,-5.464386738832829,Mixed Improvement
Utilities,2025Q4,8104,50.06474925243046,48.07156136900105,50.0,50.0,50.0,62.0,50.0,50.0,50.0,47.5,48.05555555555555,48.33333333333333,51.00529100529101,54.44444444444444,50.0,50.0,67.32352171878449,67.5741245918421,6,-0.9461111608440049,Mixed / Divergent
