ticker,company_name,sector,segment,sub_sector_id,market_cap,shares_outstanding,exchange,source_url,source_timestamp
ACB,Asia Commercial Joint Stock Bank,Banks,Banks,banks-151,127902749315100.0,5136656599.0,HOSE,https://research.mozyfin.com/company/ACB?tab=statement,2026-06-02T03:40:04.068Z
ANV,Nam Viet Corporation,Food & Beverage,Non-financial,farming-fishing-5,5751124200000.0,266255750.0,HOSE,https://research.mozyfin.com/company/ANV?tab=statement,2026-06-02T14:30:01.274Z
BCM,Becamex Investment And Industrial Development Group,Real Estate,Real Estate,real-estate-holding-development-160,56614500000000.0,1035000000.0,HOSE,https://research.mozyfin.com/company/BCM?tab=statement,2026-06-02T04:25:25.856Z
BID,Joint Stock Commercial Bank for Investment and Development of Vietnam,Banks,Banks,banks-151,305034732299000.0,7280065210.0,HOSE,https://research.mozyfin.com/company/BID?tab=statement,2026-06-02T14:30:33.708Z
BMP,Binh Minh Plastics Joint Stock Company,Construction & Materials,Non-financial,building-materials-fixtures-43,11223134599800.0,81860938.0,HOSE,https://research.mozyfin.com/company/BMP?tab=statement,2026-06-02T14:31:06.558Z
BSI,BIDV Joint Stock Securities Company,Financial Services,Securities,investment-services-154,8600076302150.0,245365943.0,HOSE,https://research.mozyfin.com/company/BSI?tab=statement,2026-06-02T14:31:39.228Z
BVH,Bao Viet Holdings,Insurance,Insurance,life-insurance-139,49809857464400.0,742322764.0,HOSE,https://research.mozyfin.com/company/BVH?tab=statement,2026-06-02T14:32:11.757Z
BWE,Binh Duong Water - Environment Corporation - Joint Stock Company,Utilities,Non-financial,water-124,9434938827600.0,219928644.0,HOSE,https://research.mozyfin.com/company/BWE?tab=statement,2026-06-02T04:20:33.646Z
CII,Ho Chi Minh City Infrastructure Investment Joint Stock Company,Construction & Materials,Non-financial,heavy-construction-9,11759742592500.0,671985291.0,HOSE,https://research.mozyfin.com/company/CII?tab=statement,2026-06-02T14:32:44.203Z
CMG,CMC Corporation,Technology,Non-financial,computer-services-137,6369839833800.0,232900908.0,HOSE,https://research.mozyfin.com/company/CMG?tab=statement,2026-06-02T14:33:16.631Z
CTD,Coteccons Construction Joint Stock Company,Construction & Materials,Non-financial,heavy-construction-9,8073636484000.0,111823220.0,HOSE,https://research.mozyfin.com/company/CTD?tab=statement,2026-06-02T14:33:49.174Z
CTG,Vietnam Joint Stock Commercial Bank For Industry and Trade,Banks,Banks,banks-151,268347937208350.0,7766944637.0,HOSE,https://research.mozyfin.com/company/CTG?tab=statement,2026-06-02T14:34:22.025Z
CTR,Viettel Construction Joint Stock Corporation,Construction & Materials,Non-financial,heavy-construction-9,10065957352000.0,114385879.0,HOSE,https://research.mozyfin.com/company/CTR?tab=statement,2026-06-02T04:23:48.152Z
CTS,Vietinbank Securities Joint Stock Company,Financial Services,Securities,investment-services-154,5912877576400.0,212693438.0,HOSE,https://research.mozyfin.com/company/CTS?tab=statement,2026-06-02T03:40:36.624Z
DBC,DABACO Group,Food & Beverage,Non-financial,farming-fishing-5,8390093340600.0,384866667.0,HOSE,https://research.mozyfin.com/company/DBC?tab=statement,2026-06-02T03:41:09.294Z
DCM,PetroVietnam Ca Mau Fertilizer Corporation,Chemicals,Non-financial,specialty-chemicals-57,20673070000000.0,529400000.0,HOSE,https://research.mozyfin.com/company/DCM?tab=statement,2026-06-02T14:34:54.461Z
