period,period_end_date,ticker,sector,npat,npat_ttm,equity,equity_lag4,average_equity,roe_ttm,delta_roe,delta_npat_ttm,delta_earnings_to_equity,momentum_raw,momentum_health,stability_raw,stability_health,profitability_raw,profitability_health,ticker_health_score,source_file,source_format,data_quality_flag
2018Q1,2018-03-31,ACB,Bank,1144.486,,17177.26,,,,,,,,,,,,,,/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/ACB_financial_report.json,json,ok
2018Q2,2018-06-30,ACB,Bank,1317.913,,18318.852,,,,,,,,,,,,,,/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/ACB_financial_report.json,json,ok
2018Q3,2018-09-30,ACB,Bank,1309.422,,19518.788,,,,,,,,,,,,,,/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/ACB_financial_report.json,json,ok
2018Q4,2018-12-31,ACB,Bank,1365.231,5137.052,21017.899,,,,,,,,,,,,,,/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/ACB_financial_report.json,json,ok
2019Q1,2019-03-31,ACB,Bank,1365.889,5358.455,22383.445,17177.26,19780.3525,0.2708978517951083,,,,,,,,0.2708978517951083,0.8105263157894737,0.6210526315789473,/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/ACB_financial_report.json,json,ok
2019Q2,2019-06-30,ACB,Bank,1532.743,5573.285,23833.705,18318.852,21076.2785,0.26443401760894364,,,,,,,,0.26443401760894364,0.8010471204188482,0.6020942408376964,/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/ACB_financial_report.json,json,ok
2019Q3,2019-09-30,ACB,Bank,1549.212,5813.075,25364.309,19518.788,22441.5485,0.259031813245864,,,,,,,,0.259031813245864,0.794425087108014,0.5888501742160279,/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/ACB_financial_report.json,json,ok
2019Q4,2019-12-31,ACB,Bank,1549.241,5997.084999999999,27752.507,21017.899,24385.203,0.24593131334604837,,860.0329999999994,0.04091907568877362,0.04091907568877362,0.7157894736842105,,,0.24593131334604837,0.783289817232376,0.49755882157458364,/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/ACB_financial_report.json,json,ok
2020Q1,2020-03-31,ACB,Bank,1537.053,6168.249,29412.365,22383.445,25897.905,0.23817559760142762,-0.03272225419368066,809.7939999999999,0.036178255849356515,0.036178255849356515,0.6963350785340314,,,0.23817559760142762,0.7895833333333333,0.48298964585168824,/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/ACB_financial_report.json,json,ok
2020Q2,2020-06-30,ACB,Bank,1521.655,6157.161,30832.445,23833.705,27333.075,0.22526411682549438,-0.03916990078344926,583.8760000000002,0.024497911675922822,0.024497911675922822,0.5958188153310104,,,0.22526411682549438,0.7712305025996534,0.3557487147787606,/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/ACB_financial_report.json,json,ok
2020Q3,2020-09-30,ACB,Bank,2074.572,6682.521000000001,32918.968,25364.309,29141.6385,0.2293117801183348,-0.02972003312752919,869.4460000000008,0.03427832392358888,0.03427832392358888,0.6788511749347258,,,0.2293117801183348,0.7881481481481482,0.4629221392719418,/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/ACB_financial_report.json,json,ok
2020Q4,2020-12-31,ACB,Bank,2549.543,7682.823,35448.163,27752.507,31600.335,0.24312473269666288,-0.002806580649385493,1685.7380000000012,0.060741827756317694,0.060741827756317694,0.7958333333333333,,,0.24312473269666288,0.8111254851228978,0.6068860551725164,/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/ACB_financial_report.json,json,ok
2021Q1,2021-03-31,ACB,Bank,2483.401,8629.171,37929.335,29412.365,33670.85,0.25628016518739505,0.01810456758596743,2460.9220000000005,0.08366964030264143,0.08366964030264143,0.8561525129982669,,,0.25628016518739505,0.8335246842709529,0.6895256767325715,/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/ACB_financial_report.json,json,ok
2021Q2,2021-06-30,ACB,Bank,2588.235,9695.751,40380.245,30832.445,35606.345,0.2723040233419072,0.047039906516412794,3538.59,0.11476838765138478,0.11476838765138478,0.9259259259259259,,,0.2723040233419072,0.8565531475748194,0.7811285930813427,/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/ACB_financial_report.json,json,ok
2021Q3,2021-09-30,ACB,Bank,2102.615,9723.794,42483.436,32918.968,37701.202000000005,0.2579173470384313,0.02860556692009647,3041.2729999999992,0.09238664468460855,0.09238664468460855,0.8434670116429496,,,0.2579173470384313,0.8256794751640113,0.6690517061990711,/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/ACB_financial_report.json,json,ok
2021Q4,2021-12-31,ACB,Bank,2428.495,9602.746,44900.909,35448.163,40174.536,0.23902568532465437,-0.004099047372008502,1919.9229999999989,0.054161424387492205,0.054161424387492205,0.6865671641791045,,,0.23902568532465437,0.7793991416309013,0.4630240714809255,/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/ACB_financial_report.json,json,ok
2022Q1,2022-03-31,ACB,Bank,3287.535,10406.880000000001,48203.333,37929.335,43066.334,0.24164768703089518,-0.014632478156499873,1777.7090000000007,0.046868973579420804,0.046868973579420804,0.6398348813209495,,,0.24164768703089518,0.7792721518987342,0.41224007141398955,/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/ACB_financial_report.json,json,ok
2022Q2,2022-06-30,ACB,Bank,3943.148,11761.793,52066.031,40380.245,46223.138000000006,0.2544568263625892,-0.01784719697931797,2066.0419999999995,0.05116467223019571,0.05116467223019571,0.6532333645735707,,,0.2544568263625892,0.805575935436537,0.4508329727776532,/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/ACB_financial_report.json,json,ok
2022Q3,2022-09-30,ACB,Bank,3586.992,13246.17,55734.731,42483.436,49109.0835,0.26972952977222636,0.011812182733795085,3522.376,0.08291174941687862,0.08291174941687862,0.7785407725321889,0.027422314782231345,0.7157894736842105,0.26972952977222636,0.8358413132694938,0.5752487190858127,/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/ACB_financial_report.json,json,ok
2022Q4,2022-12-31,ACB,Bank,2870.518,13688.193,58438.663,44900.909,51669.786,0.2649167736053716,0.025891088280717206,4085.447,0.09098806886069946,0.09098806886069946,0.8061708860759493,0.02802244806052897,0.6963350785340314,0.2649167736053716,0.8303457106274008,0.5844118177706581,/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/ACB_financial_report.json,json,ok
2023Q1,2023-03-31,ACB,Bank,4135.029,14535.687,62530.165,48203.333,55366.748999999996,0.2625345945451845,0.020886907514289343,4128.806999999999,0.08565397334661483,0.08565397334661483,0.8019075568598679,0.027120319641796273,0.7491289198606272,0.2625345945451845,0.8327316486161251,0.6061757291493095,/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/ACB_financial_report.json,json,ok
