ticker,period,period_order,sector,link,meaning,score,status,severity
ACB,2018Q1,8073,Banks,Revenue -> Gross Profit,Revenue quality,,insufficient,Insufficient Data
ACB,2018Q1,8073,Banks,Gross Profit -> EBIT,Operating cost control,,insufficient,Insufficient Data
ACB,2018Q1,8073,Banks,EBIT -> LNST,Financing and tax drag,,insufficient,Insufficient Data
ACB,2018Q1,8073,Banks,LNST -> CFO,Earnings quality,,insufficient,Insufficient Data
ACB,2018Q1,8073,Banks,CFO -> FCF,Cash after investment,,insufficient,Insufficient Data
ACB,2018Q1,8073,Banks,FCF -> Equity / Balance Sheet,Self-funded growth,,insufficient,Insufficient Data
ACB,2018Q2,8074,Banks,Revenue -> Gross Profit,Revenue quality,,insufficient,Insufficient Data
ACB,2018Q2,8074,Banks,Gross Profit -> EBIT,Operating cost control,,insufficient,Insufficient Data
ACB,2018Q2,8074,Banks,EBIT -> LNST,Financing and tax drag,,insufficient,Insufficient Data
ACB,2018Q2,8074,Banks,LNST -> CFO,Earnings quality,,insufficient,Insufficient Data
ACB,2018Q2,8074,Banks,CFO -> FCF,Cash after investment,,insufficient,Insufficient Data
ACB,2018Q2,8074,Banks,FCF -> Equity / Balance Sheet,Self-funded growth,,insufficient,Insufficient Data
ACB,2018Q3,8075,Banks,Revenue -> Gross Profit,Revenue quality,,insufficient,Insufficient Data
ACB,2018Q3,8075,Banks,Gross Profit -> EBIT,Operating cost control,,insufficient,Insufficient Data
ACB,2018Q3,8075,Banks,EBIT -> LNST,Financing and tax drag,,insufficient,Insufficient Data
ACB,2018Q3,8075,Banks,LNST -> CFO,Earnings quality,,insufficient,Insufficient Data
ACB,2018Q3,8075,Banks,CFO -> FCF,Cash after investment,,insufficient,Insufficient Data
ACB,2018Q3,8075,Banks,FCF -> Equity / Balance Sheet,Self-funded growth,,insufficient,Insufficient Data
ACB,2018Q4,8076,Banks,Revenue -> Gross Profit,Revenue quality,,insufficient,Insufficient Data
ACB,2018Q4,8076,Banks,Gross Profit -> EBIT,Operating cost control,,insufficient,Insufficient Data
ACB,2018Q4,8076,Banks,EBIT -> LNST,Financing and tax drag,,insufficient,Insufficient Data
ACB,2018Q4,8076,Banks,LNST -> CFO,Earnings quality,,insufficient,Insufficient Data
ACB,2018Q4,8076,Banks,CFO -> FCF,Cash after investment,100.0,confirmed,Low
ACB,2018Q4,8076,Banks,FCF -> Equity / Balance Sheet,Self-funded growth,,insufficient,Insufficient Data
ACB,2019Q1,8077,Banks,Revenue -> Gross Profit,Revenue quality,,insufficient,Insufficient Data
ACB,2019Q1,8077,Banks,Gross Profit -> EBIT,Operating cost control,,insufficient,Insufficient Data
ACB,2019Q1,8077,Banks,EBIT -> LNST,Financing and tax drag,,insufficient,Insufficient Data
ACB,2019Q1,8077,Banks,LNST -> CFO,Earnings quality,,insufficient,Insufficient Data
ACB,2019Q1,8077,Banks,CFO -> FCF,Cash after investment,100.0,confirmed,Low
ACB,2019Q1,8077,Banks,FCF -> Equity / Balance Sheet,Self-funded growth,100.0,confirmed,Low
ACB,2019Q2,8078,Banks,Revenue -> Gross Profit,Revenue quality,,insufficient,Insufficient Data
ACB,2019Q2,8078,Banks,Gross Profit -> EBIT,Operating cost control,,insufficient,Insufficient Data
ACB,2019Q2,8078,Banks,EBIT -> LNST,Financing and tax drag,,insufficient,Insufficient Data
ACB,2019Q2,8078,Banks,LNST -> CFO,Earnings quality,,insufficient,Insufficient Data
ACB,2019Q2,8078,Banks,CFO -> FCF,Cash after investment,100.0,confirmed,Low
ACB,2019Q2,8078,Banks,FCF -> Equity / Balance Sheet,Self-funded growth,100.0,confirmed,Low
ACB,2019Q3,8079,Banks,Revenue -> Gross Profit,Revenue quality,,insufficient,Insufficient Data
ACB,2019Q3,8079,Banks,Gross Profit -> EBIT,Operating cost control,,insufficient,Insufficient Data
ACB,2019Q3,8079,Banks,EBIT -> LNST,Financing and tax drag,,insufficient,Insufficient Data
ACB,2019Q3,8079,Banks,LNST -> CFO,Earnings quality,,insufficient,Insufficient Data
ACB,2019Q3,8079,Banks,CFO -> FCF,Cash after investment,100.0,confirmed,Low
ACB,2019Q3,8079,Banks,FCF -> Equity / Balance Sheet,Self-funded growth,100.0,confirmed,Low
ACB,2019Q4,8080,Banks,Revenue -> Gross Profit,Revenue quality,100.0,confirmed,Low
ACB,2019Q4,8080,Banks,Gross Profit -> EBIT,Operating cost control,55.0,weak,Medium
ACB,2019Q4,8080,Banks,EBIT -> LNST,Financing and tax drag,100.0,confirmed,Low
ACB,2019Q4,8080,Banks,LNST -> CFO,Earnings quality,100.0,confirmed,Low
ACB,2019Q4,8080,Banks,CFO -> FCF,Cash after investment,100.0,confirmed,Low
ACB,2019Q4,8080,Banks,FCF -> Equity / Balance Sheet,Self-funded growth,100.0,confirmed,Low
ACB,2020Q1,8081,Banks,Revenue -> Gross Profit,Revenue quality,55.0,weak,Medium
ACB,2020Q1,8081,Banks,Gross Profit -> EBIT,Operating cost control,55.0,weak,Medium
ACB,2020Q1,8081,Banks,EBIT -> LNST,Financing and tax drag,100.0,confirmed,Low
ACB,2020Q1,8081,Banks,LNST -> CFO,Earnings quality,55.0,weak,Medium
ACB,2020Q1,8081,Banks,CFO -> FCF,Cash after investment,100.0,confirmed,Low
ACB,2020Q1,8081,Banks,FCF -> Equity / Balance Sheet,Self-funded growth,100.0,confirmed,Low
ACB,2020Q2,8082,Banks,Revenue -> Gross Profit,Revenue quality,100.0,confirmed,Low
ACB,2020Q2,8082,Banks,Gross Profit -> EBIT,Operating cost control,55.0,weak,Medium
ACB,2020Q2,8082,Banks,EBIT -> LNST,Financing and tax drag,100.0,confirmed,Low
ACB,2020Q2,8082,Banks,LNST -> CFO,Earnings quality,100.0,confirmed,Low
ACB,2020Q2,8082,Banks,CFO -> FCF,Cash after investment,100.0,confirmed,Low
ACB,2020Q2,8082,Banks,FCF -> Equity / Balance Sheet,Self-funded growth,100.0,confirmed,Low
ACB,2020Q3,8083,Banks,Revenue -> Gross Profit,Revenue quality,100.0,confirmed,Low
ACB,2020Q3,8083,Banks,Gross Profit -> EBIT,Operating cost control,100.0,confirmed,Low
ACB,2020Q3,8083,Banks,EBIT -> LNST,Financing and tax drag,100.0,confirmed,Low
ACB,2020Q3,8083,Banks,LNST -> CFO,Earnings quality,100.0,confirmed,Low
ACB,2020Q3,8083,Banks,CFO -> FCF,Cash after investment,100.0,confirmed,Low
ACB,2020Q3,8083,Banks,FCF -> Equity / Balance Sheet,Self-funded growth,100.0,confirmed,Low
ACB,2020Q4,8084,Banks,Revenue -> Gross Profit,Revenue quality,100.0,confirmed,Low
ACB,2020Q4,8084,Banks,Gross Profit -> EBIT,Operating cost control,100.0,confirmed,Low
ACB,2020Q4,8084,Banks,EBIT -> LNST,Financing and tax drag,100.0,confirmed,Low
ACB,2020Q4,8084,Banks,LNST -> CFO,Earnings quality,100.0,confirmed,Low
ACB,2020Q4,8084,Banks,CFO -> FCF,Cash after investment,100.0,confirmed,Low
ACB,2020Q4,8084,Banks,FCF -> Equity / Balance Sheet,Self-funded growth,100.0,confirmed,Low
ACB,2021Q1,8085,Banks,Revenue -> Gross Profit,Revenue quality,100.0,confirmed,Low
