period,period_end_date,vn100_score,momentum_score,breadth_score,stability_score,csad_raw,csad_quality_score,profitability_score,valid_ticker_count,coverage_ratio,regime,broadness_label
2018Q1,2018-03-31,,,,,,,,0,0.0,Insufficient data,insufficient data
2018Q2,2018-06-30,,,,,,,,0,0.0,Insufficient data,insufficient data
2018Q3,2018-09-30,,,,,,,,0,0.0,Insufficient data,insufficient data
2018Q4,2018-12-31,,,,,,,,0,0.0,Insufficient data,insufficient data
2019Q1,2019-03-31,,,,,,,,0,0.0,Insufficient data,insufficient data
2019Q2,2019-06-30,,,,,,,,0,0.0,Insufficient data,insufficient data
2019Q3,2019-09-30,,,,,,,,0,0.0,Insufficient data,insufficient data
2019Q4,2019-12-31,,-0.21202836221178945,0.3894736842105264,,0.18698884602172364,-0.3076923076923077,-0.2400429123547494,95,0.95,Insufficient data,mixed / transition
2020Q1,2020-03-31,,-0.2882461368697584,0.25,,0.17763284748407013,0.020769230769230873,-0.36888234242727835,96,0.96,Insufficient data,mixed / transition
2020Q2,2020-06-30,,-0.27242886528291443,0.25,,0.16958304222584164,0.2455384615384617,-0.30032955855937515,96,0.96,Insufficient data,mixed / transition
2020Q3,2020-09-30,,-0.27223296205353265,0.10416666666666674,,0.1808055570299664,0.003476923076923155,-0.3567009316935196,96,0.96,Insufficient data,mixed / transition
2020Q4,2020-12-31,,-0.21655229868266956,0.23711340206185572,,0.18815296887695068,-0.21637538461538464,-0.34307301480868047,97,0.97,Insufficient data,mixed / transition
2021Q1,2021-03-31,,-0.039696299755221154,0.402061855670103,,0.19138564948122141,-0.4244406153846154,-0.13784643884698744,97,0.97,Insufficient data,uneven recovery
2021Q2,2021-06-30,,0.0035911184384864736,0.5714285714285714,,0.16634430077777754,0.2499510153846154,-0.09803205033453033,98,0.98,Insufficient data,broad-based expansion
2021Q3,2021-09-30,,-0.02335064036059531,0.510204081632653,,0.16995601616007472,0.2553552246153845,-0.18329538651458643,98,0.98,Insufficient data,mixed / transition
2021Q4,2021-12-31,,-0.09437415951739059,0.48979591836734704,,0.2069516755321002,-0.4437099421538463,-0.2641035136161618,98,0.98,Insufficient data,uneven recovery
2022Q1,2022-03-31,,-0.13939093381017753,0.44897959183673475,,0.17882249626771518,-0.08853365760000009,-0.17307346606591234,98,0.98,Insufficient data,mixed / transition
2022Q2,2022-06-30,,-0.22218689134939995,0.2857142857142858,,0.15550689497782844,0.41611057467076895,-0.23800187893776958,98,0.98,Insufficient data,mixed / transition
2022Q3,2022-09-30,-0.1483965063499566,-0.3059686864538357,0.24489795918367352,-0.30123565981771205,0.17810508797518676,0.13505096018707685,-0.2764881481745619,98,0.98,Neutral,mixed / transition
2022Q4,2022-12-31,-0.25769703587466963,-0.47679147473511807,0.1515151515151516,-0.3119648627734619,0.17774260553281482,0.1587228838045538,-0.386084031712819,99,0.99,Weak,mixed / transition
2023Q1,2023-03-31,-0.40630964913558976,-0.6011368859970658,-0.0505050505050505,-0.3270919946996881,0.19050025049547795,-0.2186124235634216,-0.5243381801409756,99,0.99,Weak,mixed / transition
2023Q2,2023-06-30,-0.44965059702246013,-0.6107720884420189,-0.21212121212121215,-0.34366945843734675,0.1910888950383588,-0.36270591567651456,-0.5188279746341271,99,0.99,Weak,narrow leadership / one-sector shock
2023Q3,2023-09-30,-0.48523038384629436,-0.5954621312329657,-0.19999999999999996,-0.356761847434625,0.2240509639641458,-0.7023466263289857,-0.5261629486567563,100,1.0,Weak,narrow leadership / one-sector shock
2023Q4,2023-12-31,-0.38089238747086873,-0.43027218364445097,0.0,-0.36492682192653003,0.20402937273841248,-0.6848387450281606,-0.4704032078274033,100,1.0,Weak,mixed / transition
2024Q1,2024-03-31,-0.20922781390241008,-0.3075644851822027,0.19999999999999996,-0.35096292003076945,0.17058319063294505,-0.06167247778612717,-0.38999694724900713,100,1.0,Weak,mixed / transition
2024Q2,2024-06-30,-0.15399502990605862,-0.239372340327352,0.28,-0.32457335236543006,0.16933240025684695,0.22684266717447743,-0.4185453340013592,100,1.0,Weak,mixed / transition
2024Q3,2024-09-30,-0.10276873602819636,-0.1329794241996719,0.3600000000000001,-0.27623627048258437,0.1855348610637147,-0.07081747661839022,-0.35165506663867363,100,1.0,Neutral,mixed / transition
2024Q4,2024-12-31,-0.053157186893249886,-0.07210185259310009,0.48,-0.20976693069576302,0.18604758914230793,-0.15095202443257272,-0.3246493622505334,100,1.0,Neutral,mixed / transition
2025Q1,2025-03-31,-0.11379919335745003,-0.07687619798687961,0.43999999999999995,-0.15589550027247745,0.21001958715614008,-0.6051865992749283,-0.29396771240490116,100,1.0,Neutral,uneven recovery
2025Q2,2025-06-30,-0.06317796812819354,-0.018754502760570002,0.52,-0.12309000072280729,0.19598913839374218,-0.5915734980264954,-0.2404764320319137,100,1.0,Neutral,uneven recovery
2025Q3,2025-09-30,0.13744030319576606,0.07285719545646252,0.6565656565656566,-0.09158799538440288,0.1503082177511458,0.30659436272256446,-0.14288947050542433,99,0.99,Neutral,broad-based expansion
2025Q4,2025-12-31,0.1703945102292459,0.06378633178749848,0.696969696969697,-0.080144033723753,0.14756377857819028,0.569341233018154,-0.1217086663252136,99,0.99,Recovery,broad-based expansion
2026Q1,2026-03-31,0.17115635610647928,0.07156530027789487,0.6494845360824741,-0.060562920968309286,0.15809522789816166,0.5700662782724311,-0.11130781809391654,97,0.97,Recovery,broad-based expansion
