time,VN30,VN30_volume
2015-12-02,583.94,44202500
2015-12-03,585.23,25746300
2015-12-04,582.96,27429250
2015-12-07,575.34,27917870
2015-12-08,584.85,41143140
2015-12-09,574.54,35867640
2015-12-10,572.5,32690530
2015-12-11,578.01,30392220
2015-12-14,579.42,43757940
2015-12-15,582.28,29463800
2015-12-16,583.97,24526680
2015-12-17,586.47,27881260
2015-12-18,578.85,111582970
2015-12-21,577.73,41093490
2015-12-22,576.8,24201750
2015-12-23,575.46,24882050
2015-12-24,576.71,18795960
2015-12-25,579.32,26897650
2015-12-28,583.16,33542880
2015-12-29,589.43,38916640
2015-12-30,594.8,28701100
2015-12-31,595.57,30782620
2016-01-04,589.91,34556430
2016-01-05,583.62,38365210
2016-01-06,589.97,34673330
2016-01-07,582.3,53139350
2016-01-08,575.96,49590710
2016-01-11,573.72,41346790
2016-01-12,582.39,37782740
2016-01-13,578.63,58499270
2016-01-14,569.17,64773170
2016-01-15,555.76,58789460
2016-01-18,541.18,71910580
2016-01-19,550.29,46672170
2016-01-20,544.24,54081350
2016-01-21,538.53,62930690
2016-01-22,539.37,72569000
2016-01-25,562.19,61950410
2016-01-26,554.52,58752560
2016-01-27,558.98,47279780
2016-01-28,556.86,43940300
2016-01-29,561.61,40298590
2016-02-01,557.98,33491390
2016-02-02,555.09,26468430
2016-02-03,556.53,32011090
2016-02-04,561.22,24669190
2016-02-05,563.97,23062660
2016-02-15,559.19,26536240
2016-02-16,562.32,41862840
2016-02-17,561.1,48801190
2016-02-18,566.85,43464450
2016-02-19,567.51,72049750
2016-02-22,574.37,72129470
2016-02-23,573.78,68991590
2016-02-24,578.87,61697110
2016-02-25,573.02,51914780
2016-02-26,577.71,33428440
2016-02-29,570.66,43529240
2016-03-01,572.99,44836030
2016-03-02,579.17,47270440
2016-03-03,579.11,46474860
2016-03-04,580.94,40485760
2016-03-07,582.6,52733420
2016-03-08,582.54,50591240
2016-03-09,581.25,36201600
2016-03-10,583.77,37819630
2016-03-11,583.89,48007980
2016-03-14,587.09,44201420
2016-03-15,583.02,46022420
2016-03-16,583.79,50974370
2016-03-17,586.47,56256610
2016-03-18,581.95,77604400
2016-03-21,579.95,52165610
2016-03-22,577.97,37385320
2016-03-23,580.6,46641550
2016-03-24,577.31,44064790
2016-03-25,578.24,45475190
2016-03-28,582.37,33121830
2016-03-29,575.16,42581490
2016-03-30,577.11,37937340
2016-03-31,571.69,45362930
2016-04-01,568.27,39572770
2016-04-04,565.71,36166390
2016-04-05,570.43,32931440
2016-04-06,576.4,29250780
2016-04-07,579.28,37795160
2016-04-08,578.97,35500680
2016-04-11,586.78,46007230
2016-04-12,587.47,48924080
2016-04-13,584.63,42440850
2016-04-14,586.21,39084410
2016-04-15,584.47,33335290
2016-04-19,575.06,38488770
2016-04-20,575.35,40303610
2016-04-21,582.76,33751240
2016-04-22,591.6,31065700
2016-04-25,594.16,47011590
2016-04-26,601.27,58764550
2016-04-27,597.43,57830450
2016-04-28,595.63,33519350
2016-04-29,601.25,41004450
2016-05-04,602.57,53000870
2016-05-05,604.69,43704920
2016-05-06,607.55,38018650
2016-05-09,604.24,39065150
2016-05-10,604.56,40947790
2016-05-11,611.96,37768550
2016-05-12,612.04,28991120
2016-05-13,609.97,39461980
2016-05-16,615.17,33326610
2016-05-17,622.93,48925270
2016-05-18,623.92,42229940
2016-05-19,621.13,44205580
2016-05-20,616.4,35392800
2016-05-23,614.45,24717400
2016-05-24,614.62,33863250
2016-05-25,612.74,38580820
2016-05-26,607.16,31598350
2016-05-27,611.0,29541940
2016-05-30,616.73,36137970
2016-05-31,617.52,37020710
2016-06-01,619.38,35111370
2016-06-02,621.18,43213170
2016-06-03,621.05,40278770
2016-06-06,618.88,42669780
2016-06-07,624.01,38924170
2016-06-08,630.09,45578480
2016-06-09,630.66,38389840
2016-06-10,629.27,50137570
2016-06-13,621.75,40155800
2016-06-14,625.36,29924290
2016-06-15,624.19,37319700
2016-06-16,622.54,45734420
2016-06-17,615.75,80070280
2016-06-20,624.19,36747990
2016-06-21,626.97,40127220
2016-06-22,624.18,30458160
2016-06-23,626.5,36642430
2016-06-24,612.69,111980010
2016-06-27,614.42,38475490
2016-06-28,614.31,30146410
2016-06-29,621.39,46980010
2016-06-30,621.79,34652930
2016-07-01,626.34,40594650
2016-07-04,633.57,51257820
2016-07-05,636.27,53354700
2016-07-06,636.18,42782450
2016-07-07,644.52,44291280
2016-07-08,643.56,48033380
2016-07-11,636.02,51212010
2016-07-12,641.58,47502400
2016-07-13,656.89,65837350
2016-07-14,651.14,65684480
2016-07-15,653.63,49963550
2016-07-18,662.29,52273180
2016-07-19,654.17,53469680
2016-07-20,645.15,49362910
2016-07-21,643.16,38448740
2016-07-22,634.34,75634190
2016-07-25,633.21,35569400
2016-07-26,634.68,35707140
2016-07-27,639.63,50115660
2016-07-28,644.33,51213880
2016-07-29,639.17,42971430
2016-08-01,635.41,37305420
2016-08-02,623.16,63860160
2016-08-03,619.8,34005000
2016-08-04,617.41,43575850
2016-08-05,615.06,51706330
2016-08-08,614.65,36306770
2016-08-09,621.43,36456730
2016-08-10,632.86,50254560
2016-08-11,645.1,65385350
2016-08-12,641.11,56880440
2016-08-15,645.66,56928330
2016-08-16,646.44,55429570
2016-08-17,650.82,53901010
2016-08-18,652.87,52775680
2016-08-19,654.42,46597340
2016-08-22,647.46,52649650
2016-08-23,650.92,41297430
2016-08-24,650.95,37971740
2016-08-25,649.06,42327060
2016-08-26,656.71,49771730
2016-08-29,656.23,45933020
2016-08-30,661.2,36227890
2016-08-31,665.25,45275130
2016-09-01,659.09,40971360
2016-09-05,655.08,50626120
2016-09-06,656.02,37876630
2016-09-07,654.79,39075430
2016-09-08,659.25,56183480
2016-09-09,658.66,41911660
2016-09-12,651.63,36825290
2016-09-13,651.8,34874810
2016-09-14,646.93,43484990
2016-09-15,645.02,44216500
2016-09-16,639.37,112809150
2016-09-19,648.83,52585110
2016-09-20,653.66,47262570
2016-09-21,657.44,59216090
2016-09-22,662.31,51576940
2016-09-23,664.31,36179520
2016-09-26,666.1,35712190
2016-09-27,671.21,55297970
2016-09-28,669.17,52729160
2016-09-29,670.3,46358070
2016-09-30,668.44,50608970
2016-10-03,662.42,51795630
2016-10-04,661.89,54611720
2016-10-05,663.95,53091590
2016-10-06,663.12,68399400
2016-10-07,657.54,53091820
2016-10-10,647.25,50345330
2016-10-11,654.88,62447050
2016-10-12,653.25,46555780
2016-10-13,658.29,48007230
2016-10-14,657.59,54676060
2016-10-17,650.46,45874640
2016-10-18,653.32,43308560
2016-10-19,659.39,53926200
2016-10-20,657.15,48899000
2016-10-21,655.17,40155700
2016-10-24,648.29,35941170
2016-10-25,644.91,48466920
2016-10-26,641.81,34320760
2016-10-27,644.18,39581260
2016-10-28,649.27,52986100
2016-10-31,644.22,62958340
2016-11-01,643.05,56537580
2016-11-02,636.54,74559850
2016-11-03,632.81,61746600
2016-11-04,632.54,34044200
2016-11-07,639.91,43893670
2016-11-08,642.01,32641270
2016-11-09,635.42,69094570
2016-11-10,641.9,49781590
2016-11-11,642.0,49785060
2016-11-14,634.13,59746470
2016-11-15,637.51,50757950
2016-11-16,638.72,49700950
2016-11-17,636.02,58779840
2016-11-18,634.35,41885900
2016-11-21,638.87,46481070
2016-11-22,643.76,51291800
2016-11-23,647.59,46660940
2016-11-24,647.47,55471700
2016-11-25,643.38,51753210
2016-11-28,630.62,42236760
2016-11-29,625.78,53866760
2016-11-30,631.89,64011210
2016-12-01,631.55,48280020
2016-12-02,629.64,49523800
2016-12-05,625.32,39450670
2016-12-06,616.26,57836920
2016-12-07,615.0,50497620
2016-12-08,619.45,36170480
2016-12-09,619.64,30764500
2016-12-12,612.83,44371980
2016-12-13,606.71,49880520
2016-12-14,615.26,50769240
2016-12-15,613.25,48964300
2016-12-16,621.04,90982090
2016-12-19,623.85,38644160
2016-12-20,616.74,33909090
2016-12-21,618.43,32601620
2016-12-22,618.35,39020120
2016-12-23,620.75,30705880
2016-12-26,621.73,24315500
2016-12-27,623.46,33537880
2016-12-28,624.83,41686000
2016-12-29,626.95,42824620
2016-12-30,628.21,42150570
2017-01-03,633.89,41741770
2017-01-04,632.7,47308690
2017-01-05,634.83,45027320
2017-01-06,636.34,58776870
2017-01-09,638.4,47877970
2017-01-10,639.36,37968380
2017-01-11,643.39,43037760
2017-01-12,642.25,55961210
2017-01-13,640.07,38211040
2017-01-16,632.7,31884380
2017-01-17,637.54,45193950
2017-01-18,633.1,38318350
2017-01-19,631.0,28890260
2017-01-20,634.28,31967340
2017-01-23,635.42,31193760
2017-01-24,639.32,32623040
2017-01-25,644.79,31172150
2017-02-02,652.98,35196520
2017-02-03,651.18,41521500
2017-02-06,654.03,35396750
2017-02-07,656.48,50073700
2017-02-08,657.97,41562000
2017-02-09,658.83,50146690
2017-02-10,658.78,43516860
2017-02-13,662.68,46712720
2017-02-14,663.43,53471990
2017-02-15,669.08,52679930
2017-02-16,667.72,75920890
2017-02-17,668.1,57274430
2017-02-20,667.56,69307110
2017-02-21,671.52,57986820
2017-02-22,668.61,66145110
2017-02-23,667.42,54385410
2017-02-24,661.81,67860460
2017-02-27,666.22,53159020
2017-02-28,657.95,37910230
2017-03-01,655.99,51816280
2017-03-02,653.76,41818620
2017-03-03,656.77,39680640
2017-03-06,658.61,42183040
2017-03-07,659.9,39890140
2017-03-08,662.48,36985930
2017-03-09,664.3,63381260
2017-03-10,663.49,55044650
2017-03-13,662.67,32859480
2017-03-14,665.46,30191990
2017-03-15,663.57,35475170
2017-03-16,668.07,58016400
2017-03-17,668.35,108031140
2017-03-20,676.02,46717580
2017-03-21,679.69,78365980
2017-03-22,677.96,90740970
2017-03-23,689.32,68421110
2017-03-24,691.76,97397110
2017-03-27,693.49,87536740
2017-03-28,688.31,75179560
2017-03-29,689.91,70114000
