time,VNINDEX,VNINDEX_volume
2015-12-02,574.42,95044360
2015-12-03,574.38,72157320
2015-12-04,571.62,83491230
2015-12-07,563.62,70843060
2015-12-08,574.15,97111470
2015-12-09,565.2,88440210
2015-12-10,561.04,94011540
2015-12-11,563.43,79068530
2015-12-14,562.22,92279450
2015-12-15,568.0,99030490
2015-12-16,572.55,96949850
2015-12-17,577.11,80826770
2015-12-18,568.18,179001190
2015-12-21,566.9,97315670
2015-12-22,566.35,74383900
2015-12-23,564.27,73480350
2015-12-24,566.17,64643240
2015-12-25,567.67,79503910
2015-12-28,569.9,100998130
2015-12-29,576.29,94079180
2015-12-30,579.45,83672230
2015-12-31,579.03,102999330
2016-01-04,574.41,95930580
2016-01-05,569.94,97997540
2016-01-06,574.57,82285160
2016-01-07,565.36,140610960
2016-01-08,560.05,133652640
2016-01-11,557.87,100564840
2016-01-12,564.26,101936980
2016-01-13,560.37,116482120
2016-01-14,553.03,128698360
2016-01-15,543.04,119036170
2016-01-18,526.37,155232200
2016-01-19,535.77,113134420
2016-01-20,529.44,110084630
2016-01-21,521.88,139640150
2016-01-22,522.24,159197830
2016-01-25,542.35,141544590
2016-01-26,537.73,129406630
2016-01-27,542.69,113837250
2016-01-28,539.47,107972910
2016-01-29,545.25,98772890
2016-02-01,540.56,91516390
2016-02-02,536.45,81857900
2016-02-03,539.07,72488010
2016-02-04,542.15,58991600
2016-02-05,544.75,58916530
2016-02-15,543.79,63716290
2016-02-16,548.05,101448930
2016-02-17,547.05,108235660
2016-02-18,552.49,105390240
2016-02-19,554.03,176932600
2016-02-22,560.71,146133920
2016-02-23,561.28,151169460
2016-02-24,568.04,150465740
2016-02-25,562.82,128761360
2016-02-26,566.11,96285500
2016-02-29,559.37,116967700
2016-03-01,561.56,115276230
2016-03-02,570.18,140295650
2016-03-03,570.39,121565340
2016-03-04,573.65,131099670
2016-03-07,576.2,154505980
2016-03-08,574.71,141443700
2016-03-09,571.71,118988380
2016-03-10,575.91,118002950
2016-03-11,577.26,134136630
2016-03-14,577.98,122214350
2016-03-15,574.04,138716120
2016-03-16,577.07,138524560
2016-03-17,579.26,138979600
2016-03-18,575.82,174491080
2016-03-21,572.27,143177260
2016-03-22,570.91,122911350
2016-03-23,574.71,130484450
2016-03-24,570.66,140020360
2016-03-25,572.08,132180850
2016-03-28,575.72,110859230
2016-03-29,568.28,132852470
2016-03-30,569.91,122484050
2016-03-31,561.22,145625020
2016-04-01,558.43,116291560
2016-04-04,555.82,108880000
2016-04-05,560.32,112087100
2016-04-06,567.79,99562200
2016-04-07,571.6,117899300
2016-04-08,572.34,111597810
2016-04-11,579.27,129674560
2016-04-12,579.84,138444120
2016-04-13,578.02,130634250
2016-04-14,579.49,116830600
2016-04-15,579.86,115434600
2016-04-19,568.28,125545070
2016-04-20,568.03,108722460
2016-04-21,575.73,100005660
2016-04-22,592.48,129717340
2016-04-25,591.58,130331660
2016-04-26,598.48,132638550
2016-04-27,593.96,134186560
2016-04-28,591.67,94003230
2016-04-29,598.37,110322990
2016-05-04,599.07,131949650
2016-05-05,601.51,120477350
2016-05-06,606.52,113045550
2016-05-09,603.85,105330980
2016-05-10,605.05,107970160
2016-05-11,614.06,104828050
2016-05-12,612.12,86561510
2016-05-13,610.82,105664260
2016-05-16,615.78,90053950
2016-05-17,624.75,116003280
2016-05-18,622.45,113469020
2016-05-19,619.2,114111200
2016-05-20,614.81,89160520
2016-05-23,611.03,76074600
2016-05-24,611.62,95492370
2016-05-25,611.89,95084720
2016-05-26,604.34,94423070
2016-05-27,608.11,89454250
2016-05-30,614.5,101592790
2016-05-31,618.44,107978420
2016-06-01,619.86,99652390
2016-06-02,623.37,121873950
2016-06-03,621.88,118639060
2016-06-06,620.05,118156660
2016-06-07,624.65,112253160
2016-06-08,627.87,126073730
2016-06-09,631.26,116376380
2016-06-10,629.84,128988300
2016-06-13,623.58,116109850
2016-06-14,625.43,91857820
2016-06-15,627.02,103691960
2016-06-16,625.11,116946050
2016-06-17,619.25,143669220
2016-06-20,626.46,94712000
2016-06-21,628.0,108155080
2016-06-22,626.41,93762050
2016-06-23,632.27,105505080
2016-06-24,620.77,262210430
2016-06-27,621.27,101865150
2016-06-28,622.2,76760440
2016-06-29,630.12,113362110
2016-06-30,632.26,99042580
2016-07-01,640.3,106711160
2016-07-04,647.96,124752900
2016-07-05,650.88,140423840
2016-07-06,649.46,117965440
2016-07-07,661.12,130188390
2016-07-08,658.68,131939490
2016-07-11,652.26,146647990
2016-07-12,658.9,149112960
2016-07-13,675.12,138393530
2016-07-14,666.69,152057570
2016-07-15,664.56,116464580
2016-07-18,673.5,122748180
2016-07-19,667.76,131066870
2016-07-20,660.26,124236080
2016-07-21,659.57,104596580
2016-07-22,649.87,140165040
2016-07-25,649.3,86417860
2016-07-26,648.59,97294620
2016-07-27,656.11,111642190
2016-07-28,657.14,115779900
2016-07-29,652.23,112283210
2016-08-01,648.38,89743110
2016-08-02,636.05,136282920
2016-08-03,631.61,87450230
2016-08-04,631.94,103788870
2016-08-05,627.39,118506920
2016-08-08,629.46,84087430
2016-08-09,637.34,87157080
2016-08-10,648.33,107877050
2016-08-11,660.24,134689840
2016-08-12,655.71,117895770
2016-08-15,659.47,114385770
2016-08-16,658.11,128458310
2016-08-17,660.51,113029210
2016-08-18,660.65,120173290
2016-08-19,662.28,101626960
2016-08-22,657.68,109773170
2016-08-23,659.16,90297080
2016-08-24,660.77,98316870
2016-08-25,658.5,106728730
2016-08-26,667.75,109776940
2016-08-29,669.44,108619910
2016-08-30,672.67,87433660
2016-08-31,674.63,93688890
2016-09-01,669.19,93925040
2016-09-05,664.55,103194860
2016-09-06,663.9,87906500
2016-09-07,661.28,88002530
2016-09-08,666.07,112627640
2016-09-09,666.88,95460760
2016-09-12,659.76,88572250
2016-09-13,659.72,81226280
2016-09-14,656.64,92963280
2016-09-15,656.18,105142830
2016-09-16,651.31,184317130
2016-09-19,657.89,104348350
2016-09-20,663.37,100490650
2016-09-21,668.48,134925820
2016-09-22,671.38,112592880
2016-09-23,674.09,99084600
2016-09-26,677.04,91965270
2016-09-27,684.89,115019350
2016-09-28,686.72,111646620
2016-09-29,688.55,109747830
2016-09-30,685.73,102428420
2016-10-03,683.05,108519140
2016-10-04,684.2,111644670
2016-10-05,687.04,106465990
2016-10-06,687.32,140831260
2016-10-07,683.95,128830960
2016-10-10,674.19,119618590
2016-10-11,682.36,126219300
2016-10-12,682.45,107650470
2016-10-13,685.23,117781230
2016-10-14,687.0,134748710
2016-10-17,680.95,106159380
2016-10-18,682.02,100892180
2016-10-19,688.89,122517570
2016-10-20,686.39,106042150
2016-10-21,684.83,111996680
2016-10-24,678.02,91994310
2016-10-25,676.18,108043320
2016-10-26,673.61,91959690
2016-10-27,676.9,85549590
2016-10-28,682.25,103029880
2016-10-31,675.8,114384030
2016-11-01,676.6,103689100
2016-11-02,671.4,128035040
2016-11-03,667.63,114649680
2016-11-04,666.73,74501690
2016-11-07,674.14,86516180
2016-11-08,676.46,77559310
2016-11-09,670.26,129849160
2016-11-10,678.17,104949360
2016-11-11,679.2,96643530
2016-11-14,673.05,111753270
2016-11-15,674.26,105064180
2016-11-16,674.6,102400010
2016-11-17,674.57,119114290
2016-11-18,673.25,96180820
2016-11-21,674.29,96259380
2016-11-22,681.91,106254350
2016-11-23,683.16,109567320
2016-11-24,678.18,117539200
2016-11-25,675.87,108511930
2016-11-28,665.29,94780750
2016-11-29,658.26,111429590
2016-11-30,665.07,115315370
2016-12-01,666.54,107595380
2016-12-02,665.14,106687860
2016-12-05,660.21,87046940
2016-12-06,651.49,117960660
2016-12-07,653.53,103897120
2016-12-08,658.89,90796840
2016-12-09,663.07,79953030
2016-12-12,659.7,94354570
2016-12-13,654.66,111295850
2016-12-14,665.14,193827050
2016-12-15,665.92,107135700
2016-12-16,675.16,155852900
2016-12-19,674.33,107085610
2016-12-20,662.66,92619080
2016-12-21,666.94,81863850
2016-12-22,664.15,86318960
2016-12-23,664.37,72131790
2016-12-26,662.45,67252060
2016-12-27,663.86,95593140
2016-12-28,663.5,101515350
2016-12-29,664.72,99258510
2016-12-30,664.87,90082950
2017-01-03,672.01,79722650
2017-01-04,674.7,92285170
2017-01-05,675.81,92735720
2017-01-06,679.8,111701460
2017-01-09,682.57,88221600
2017-01-10,681.07,78938330
2017-01-11,687.16,96461920
2017-01-12,686.96,102618890
2017-01-13,685.06,82155530
2017-01-16,677.94,76123340
2017-01-17,684.71,94123250
2017-01-18,683.28,84747660
2017-01-19,682.31,69116870
2017-01-20,686.26,80002540
2017-01-23,687.15,75819770
2017-01-24,691.36,92470490
2017-01-25,697.28,89267610
2017-02-02,703.18,82117060
2017-02-03,700.35,119246940
