item,item_id,2026-Q1,2025-Q4,2025-Q4_1,2025-Q3
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,3229.59,3730.45,3797.57,3782.19
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,18401.02,17796.69,19494.35,16978.09
Chỉ số giá thị trường trên thu nhập (P/E),p_e,7.43,6.84,6.85,5.63
Chỉ số giá thị trường trên giá trị sổ sách (P/B),p_b,1.3,1.43,1.33,1.25
Tỷ suất cổ tức,dividend_yield,0.04,0.04,0.04,0.05
Beta,beta,0.84,0.91,0.82,0.85
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,3.0,4.79,4.31,5.6
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,0.28,0.45,0.42,0.53
Tỷ suất sinh lợi của Tài sản Có sinh lãi (YOEA),yield_on_earning_assets_yoea,1.61,1.63,1.53,1.57
Tỷ lệ chi phí hình thành Tài sản Có sinh lãi (COF),cost_of_funding_earning_assets_cof,1.03,1.0,0.9,0.95
Tỷ lệ thu nhập lãi thuần (NIM),net_interest_margin_nim,0.71,0.73,0.73,0.73
Tỷ lệ chi phí hoạt động/Tổng thu nhập HĐKD trước dự phòng (CIR),cost_income_ratio_cir,33.91,32.37,34.01,29.44
ROE bình quân 4 quý gần nhất,roe_trailling,17.35,19.92,20.44,20.17
ROA bình quân 4 quý gần nhất,roa_trailling,1.64,1.91,2.01,1.96
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,-38.87,11.1,-6.04,8.84
Tăng trưởng lợi nhuận sau thuế của CĐ ngân hàng mẹ,profit_after_tax_for_shareholders_of_the_parent_company,-38.74,10.6,-5.82,9.23
Tăng trưởng tổng tài sản,total_assets,18.73,22.02,22.6,21.29
Tăng trưởng vốn chủ sở hữu,owners_equity,13.25,15.93,16.42,16.6
Tăng trưởng vốn điều lệ,charter_capital,15.0,15.0,15.0,15.0
Tăng trưởng dư nợ cho vay,deposits_from_customers,18.27,20.59,18.31,15.19
Tăng trưởng huy động vốn khách hàng,deposits_from_customers_2,8.91,11.5,11.68,10.89
Tăng trưởng thu nhập lãi thuần,net_interest_income,0.18,-1.62,-5.4,-6.01
Tăng trưởng dự phòng rủi ro tín dụng,provisions_for_loan_losses,23.86,1.26,-6.1,-4.64
Tăng trưởng thu phí dịch vụ thuần,net_fee_and_commission_income,2.93,6.46,17.06,-33.37
Tăng trưởng tổng thu nhập HĐKD trước dự phòng,operating_profit_before_provision_for_credit_losses,-6.79,9.0,-3.36,5.98
Tăng trưởng tổng chi phí HĐKD,operating_expenses,1.57,-7.49,-2.61,10.97
Dư nợ cho vay khách hàng/Tổng vốn huy động (LDR),outstanding_loans_customer_deposits,75.77,80.21,76.34,76.89
Dư nợ cho vay/Tổng tài sản Có,outstanding_loans_total_assets,66.95,70.55,67.16,67.89
Vốn chủ sở hữu/Tổng vốn huy động ,equity_deposits_from_customers,0.1,0.11,0.11,0.11
Vốn chủ sở hữu/Tổng tài sản Có,equity_total_assets,9.21,9.64,9.77,9.34
Dự phòng rủi ro tín dụng/Tổng dư nợ,loan_loss_provision_ratio,-0.01,-0.01,-0.01,-0.01
Tài sản Có sinh lãi/Tổng tài sản Có,earning_assets_total_assets,97.24,97.31,97.75,97.52
