item,item_id,2026-Q1,2025-Q4,2025-Q4_1,2025-Q3
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,4277.87,3889.69,4121.88,3971.89
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,24726.16,23925.09,22204.57,23177.61
Chỉ số giá thị trường trên thu nhập (P/E),p_e,9.09,10.28,9.4,9.14
Chỉ số giá thị trường trên giá trị sổ sách (P/B),p_b,1.57,1.67,1.75,1.57
Tỷ suất cổ tức,dividend_yield,0.01,0.0,0.0,0.0
Beta,beta,0.99,1.05,1.1,1.05
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,6.68,3.6,3.88,4.24
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,0.36,0.2,0.21,0.23
Tỷ suất sinh lợi của Tài sản Có sinh lãi (YOEA),yield_on_earning_assets_yoea,1.4,1.3,1.28,1.31
Tỷ lệ chi phí hình thành Tài sản Có sinh lãi (COF),cost_of_funding_earning_assets_cof,0.83,0.83,0.82,0.83
Tỷ lệ thu nhập lãi thuần (NIM),net_interest_margin_nim,0.59,0.51,0.5,0.51
Tỷ lệ chi phí hoạt động/Tổng thu nhập HĐKD trước dự phòng (CIR),cost_income_ratio_cir,32.53,34.86,33.0,33.35
ROE bình quân 4 quý gần nhất,roe_trailling,18.77,16.98,17.87,17.28
ROA bình quân 4 quý gần nhất,roa_trailling,0.98,0.89,0.92,0.9
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,52.42,16.86,0.31,5.71
Tăng trưởng lợi nhuận sau thuế của CĐ ngân hàng mẹ,profit_after_tax_for_shareholders_of_the_parent_company,55.68,15.56,0.48,6.07
Tăng trưởng tổng tài sản,total_assets,20.65,19.25,22.65,18.67
Tăng trưởng vốn chủ sở hữu,owners_equity,20.14,21.34,20.84,20.82
Tăng trưởng vốn điều lệ,charter_capital,1.8,23.17,23.17,23.17
Tăng trưởng dư nợ cho vay,deposits_from_customers,15.41,14.54,17.47,15.78
Tăng trưởng huy động vốn khách hàng,deposits_from_customers_2,13.83,11.39,13.96,14.82
Tăng trưởng thu nhập lãi thuần,net_interest_income,23.07,8.46,2.99,1.04
Tăng trưởng dự phòng rủi ro tín dụng,provisions_for_loan_losses,-11.93,3.14,1.8,-0.51
Tăng trưởng thu phí dịch vụ thuần,net_fee_and_commission_income,-9.2,17.53,-9.1,-2.66
Tăng trưởng tổng thu nhập HĐKD trước dự phòng,operating_profit_before_provision_for_credit_losses,19.63,25.83,1.81,8.92
Tăng trưởng tổng chi phí HĐKD,operating_expenses,4.64,16.92,9.54,9.82
Dư nợ cho vay khách hàng/Tổng vốn huy động (LDR),outstanding_loans_customer_deposits,76.91,78.85,79.83,78.82
Dư nợ cho vay/Tổng tài sản Có,outstanding_loans_total_assets,71.24,72.82,73.78,72.86
Vốn chủ sở hữu/Tổng vốn huy động ,equity_deposits_from_customers,0.06,0.06,0.06,0.06
Vốn chủ sở hữu/Tổng tài sản Có,equity_total_assets,5.21,5.47,5.46,5.44
Dự phòng rủi ro tín dụng/Tổng dư nợ,loan_loss_provision_ratio,-0.01,-0.02,-0.02,-0.02
Tài sản Có sinh lãi/Tổng tài sản Có,earning_assets_total_assets,97.26,97.72,97.9,97.69
