item,item_id,2026-Q1,2025-Q4,2025-Q4_1,2025-Q3
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,6441.47,6206.54,4804.77,5606.37
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,33452.79,31635.24,28674.56,30507.72
Chỉ số giá thị trường trên thu nhập (P/E),p_e,5.55,8.18,8.63,7.47
Chỉ số giá thị trường trên giá trị sổ sách (P/B),p_b,1.07,1.61,1.45,1.37
Tỷ suất cổ tức,dividend_yield,0.01,0.0,0.0,0.0
Beta,beta,1.15,1.18,1.29,1.19
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,6.32,5.06,3.58,6.09
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,0.4,0.31,0.22,0.38
Tỷ suất sinh lợi của Tài sản Có sinh lãi (YOEA),yield_on_earning_assets_yoea,1.42,1.36,1.34,1.36
Tỷ lệ chi phí hình thành Tài sản Có sinh lãi (COF),cost_of_funding_earning_assets_cof,0.81,0.8,0.77,0.82
Tỷ lệ thu nhập lãi thuần (NIM),net_interest_margin_nim,0.66,0.63,0.64,0.62
Tỷ lệ chi phí hoạt động/Tổng thu nhập HĐKD trước dự phòng (CIR),cost_income_ratio_cir,39.11,26.76,26.98,27.95
ROE bình quân 4 quý gần nhất,roe_trailling,20.88,21.05,17.89,19.91
ROA bình quân 4 quý gần nhất,roa_trailling,1.3,1.3,1.12,1.24
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,13.6,61.99,9.87,79.22
Tăng trưởng lợi nhuận sau thuế của CĐ ngân hàng mẹ,profit_after_tax_for_shareholders_of_the_parent_company,12.88,61.67,9.28,80.23
Tăng trưởng tổng tài sản,total_assets,16.03,23.85,18.88,20.74
Tăng trưởng vốn chủ sở hữu,owners_equity,19.81,20.49,17.92,20.48
Tăng trưởng vốn điều lệ,charter_capital,44.64,0.0,0.0,0.0
Tăng trưởng dư nợ cho vay,deposits_from_customers,15.7,23.99,18.89,20.86
Tăng trưởng huy động vốn khách hàng,deposits_from_customers_2,11.68,17.05,13.56,17.26
Tăng trưởng thu nhập lãi thuần,net_interest_income,10.1,10.26,1.98,3.28
Tăng trưởng dự phòng rủi ro tín dụng,provisions_for_loan_losses,-9.2,14.65,4.38,-12.63
Tăng trưởng thu phí dịch vụ thuần,net_fee_and_commission_income,36.88,-11.89,-9.46,-23.96
Tăng trưởng tổng thu nhập HĐKD trước dự phòng,operating_profit_before_provision_for_credit_losses,-3.04,4.15,4.73,3.45
Tăng trưởng tổng chi phí HĐKD,operating_expenses,39.34,-1.2,14.81,15.24
Dư nợ cho vay khách hàng/Tổng vốn huy động (LDR),outstanding_loans_customer_deposits,78.74,78.46,79.24,79.36
Dư nợ cho vay/Tổng tài sản Có,outstanding_loans_total_assets,71.98,72.08,72.9,72.78
Vốn chủ sở hữu/Tổng vốn huy động ,equity_deposits_from_customers,0.07,0.07,0.07,0.07
Vốn chủ sở hữu/Tổng tài sản Có,equity_total_assets,6.49,6.15,6.23,6.28
Dự phòng rủi ro tín dụng/Tổng dư nợ,loan_loss_provision_ratio,-0.02,-0.02,-0.02,-0.02
Tài sản Có sinh lãi/Tổng tài sản Có,earning_assets_total_assets,98.15,98.62,98.63,98.48
