item,item_id,2026-Q1,2025-Q4,2025-Q4_1,2025-Q3
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,610.36,1634.67,1917.92,1812.16
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,13961.48,14248.72,13827.86,13994.05
Chỉ số giá thị trường trên thu nhập (P/E),p_e,34.9,15.91,10.17,12.61
Chỉ số giá thị trường trên giá trị sổ sách (P/B),p_b,1.53,1.82,1.41,1.63
Tỷ suất cổ tức,dividend_yield,0.0,0.0,0.02,0.01
Beta,beta,1.08,0.88,0.93,0.93
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,-1.8,1.69,2.59,1.95
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,-0.18,0.17,0.27,0.2
Tỷ suất sinh lợi của Tài sản Có sinh lãi (YOEA),yield_on_earning_assets_yoea,1.64,1.56,1.5,1.58
Tỷ lệ chi phí hình thành Tài sản Có sinh lãi (COF),cost_of_funding_earning_assets_cof,1.07,1.06,1.05,1.08
Tỷ lệ thu nhập lãi thuần (NIM),net_interest_margin_nim,0.66,0.59,0.56,0.6
Tỷ lệ chi phí hoạt động/Tổng thu nhập HĐKD trước dự phòng (CIR),cost_income_ratio_cir,74.3,55.29,46.96,56.4
ROE bình quân 4 quý gần nhất,roe_trailling,4.36,11.77,14.04,13.14
ROA bình quân 4 quý gần nhất,roa_trailling,0.44,1.21,1.49,1.37
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,0.0,-38.02,25.81,-19.23
Tăng trưởng lợi nhuận sau thuế của CĐ ngân hàng mẹ,profit_after_tax_for_shareholders_of_the_parent_company,0.0,-38.34,24.89,-21.25
Tăng trưởng tổng tài sản,total_assets,13.97,14.32,23.36,20.96
Tăng trưởng vốn chủ sở hữu,owners_equity,3.61,9.78,12.14,10.97
Tăng trưởng vốn điều lệ,charter_capital,0.0,6.98,6.98,6.98
Tăng trưởng dư nợ cho vay,deposits_from_customers,11.54,13.43,22.66,20.76
Tăng trưởng huy động vốn khách hàng,deposits_from_customers_2,5.89,5.32,9.4,8.77
Tăng trưởng thu nhập lãi thuần,net_interest_income,11.38,-4.61,-0.27,-2.79
Tăng trưởng dự phòng rủi ro tín dụng,provisions_for_loan_losses,23.27,-6.36,1.93,11.17
Tăng trưởng thu phí dịch vụ thuần,net_fee_and_commission_income,-114.5,-90.55,32.2,54.05
Tăng trưởng tổng thu nhập HĐKD trước dự phòng,operating_profit_before_provision_for_credit_losses,-77.17,-32.38,1.7,-16.98
Tăng trưởng tổng chi phí HĐKD,operating_expenses,41.56,6.98,33.76,18.91
Dư nợ cho vay khách hàng/Tổng vốn huy động (LDR),outstanding_loans_customer_deposits,75.91,80.66,81.97,81.03
Dư nợ cho vay/Tổng tài sản Có,outstanding_loans_total_assets,67.41,70.74,71.81,71.26
Vốn chủ sở hữu/Tổng vốn huy động ,equity_deposits_from_customers,0.11,0.12,0.12,0.12
Vốn chủ sở hữu/Tổng tài sản Có,equity_total_assets,9.52,10.38,10.26,10.16
Dự phòng rủi ro tín dụng/Tổng dư nợ,loan_loss_provision_ratio,-0.01,-0.01,-0.01,-0.01
Tài sản Có sinh lãi/Tổng tài sản Có,earning_assets_total_assets,93.63,96.42,95.63,95.59
