item,item_id,2026-Q1,2025-Q4,2025-Q4_1,2025-Q3
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,4644.45,4304.48,4519.53,4439.06
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,20278.87,19572.49,17462.51,18411.34
Chỉ số giá thị trường trên thu nhập (P/E),p_e,6.39,7.2,4.89,4.91
Chỉ số giá thị trường trên giá trị sổ sách (P/B),p_b,1.46,1.58,1.27,1.18
Tỷ suất cổ tức,dividend_yield,0.0,0.0,0.05,0.05
Beta,beta,1.2,1.12,1.02,0.97
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,6.96,5.48,7.2,5.59
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,0.6,0.47,0.6,0.47
Tỷ suất sinh lợi của Tài sản Có sinh lãi (YOEA),yield_on_earning_assets_yoea,2.18,2.21,2.34,2.49
Tỷ lệ chi phí hình thành Tài sản Có sinh lãi (COF),cost_of_funding_earning_assets_cof,1.2,1.24,1.22,1.27
Tỷ lệ thu nhập lãi thuần (NIM),net_interest_margin_nim,1.12,1.06,1.16,1.36
Tỷ lệ chi phí hoạt động/Tổng thu nhập HĐKD trước dự phòng (CIR),cost_income_ratio_cir,30.98,26.14,27.43,23.91
ROE bình quân 4 quý gần nhất,roe_trailling,25.17,24.06,25.82,25.21
ROA bình quân 4 quý gần nhất,roa_trailling,2.06,1.95,2.09,2.03
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,59.95,5.44,32.96,13.92
Tăng trưởng lợi nhuận sau thuế của CĐ ngân hàng mẹ,profit_after_tax_for_shareholders_of_the_parent_company,63.97,6.51,36.18,12.84
Tăng trưởng tổng tài sản,total_assets,33.53,24.2,18.05,25.57
Tăng trưởng vốn chủ sở hữu,owners_equity,38.14,27.66,22.8,22.34
Tăng trưởng vốn điều lệ,charter_capital,42.59,20.72,20.72,20.72
Tăng trưởng dư nợ cho vay,deposits_from_customers,23.48,22.54,22.74,31.68
Tăng trưởng huy động vốn khách hàng,deposits_from_customers_2,28.16,22.88,22.84,23.83
Tăng trưởng thu nhập lãi thuần,net_interest_income,18.93,-0.13,3.46,27.19
Tăng trưởng dự phòng rủi ro tín dụng,provisions_for_loan_losses,18.77,0.84,-4.1,8.14
Tăng trưởng thu phí dịch vụ thuần,net_fee_and_commission_income,106.47,188.07,105.54,492.94
Tăng trưởng tổng thu nhập HĐKD trước dự phòng,operating_profit_before_provision_for_credit_losses,44.06,25.87,26.1,68.22
Tăng trưởng tổng chi phí HĐKD,operating_expenses,7.89,-15.69,2.85,-8.18
Dư nợ cho vay khách hàng/Tổng vốn huy động (LDR),outstanding_loans_customer_deposits,65.92,70.53,71.11,76.86
Dư nợ cho vay/Tổng tài sản Có,outstanding_loans_total_assets,58.68,62.49,62.72,64.86
Vốn chủ sở hữu/Tổng vốn huy động ,equity_deposits_from_customers,0.09,0.1,0.1,0.1
Vốn chủ sở hữu/Tổng tài sản Có,equity_total_assets,8.41,8.75,8.58,8.24
Dự phòng rủi ro tín dụng/Tổng dư nợ,loan_loss_provision_ratio,-0.01,-0.01,-0.01,-0.01
Tài sản Có sinh lãi/Tổng tài sản Có,earning_assets_total_assets,93.17,93.45,90.09,92.06
