item,item_id,2026-Q1,2025-Q4,2025-Q4_1,2025-Q3
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,3834.74,3616.91,3758.35,3605.37
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,15797.8,14548.97,15355.83,13624.38
Chỉ số giá thị trường trên thu nhập (P/E),p_e,10.9,13.69,8.85,8.94
Chỉ số giá thị trường trên giá trị sổ sách (P/B),p_b,2.65,3.4,2.17,2.37
Tỷ suất cổ tức,dividend_yield,0.06,0.05,0.0,0.08
Beta,beta,0.61,0.68,0.86,0.75
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,8.23,6.56,5.68,5.53
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,0.65,0.52,0.5,0.47
Tỷ suất sinh lợi của Tài sản Có sinh lãi (YOEA),yield_on_earning_assets_yoea,1.88,1.94,1.73,1.84
Tỷ lệ chi phí hình thành Tài sản Có sinh lãi (COF),cost_of_funding_earning_assets_cof,1.24,1.29,1.16,1.22
Tỷ lệ thu nhập lãi thuần (NIM),net_interest_margin_nim,0.8,0.79,0.67,0.74
Tỷ lệ chi phí hoạt động/Tổng thu nhập HĐKD trước dự phòng (CIR),cost_income_ratio_cir,28.24,27.22,28.04,29.76
ROE bình quân 4 quý gần nhất,roe_trailling,25.78,23.91,23.67,23.29
ROA bình quân 4 quý gần nhất,roa_trailling,2.12,2.01,2.09,2.01
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,39.03,18.92,10.01,-1.45
Tăng trưởng lợi nhuận sau thuế của CĐ ngân hàng mẹ,profit_after_tax_for_shareholders_of_the_parent_company,39.73,18.5,10.23,-1.06
Tăng trưởng tổng tài sản,total_assets,19.13,18.29,22.0,16.05
Tăng trưởng vốn chủ sở hữu,owners_equity,8.89,6.87,25.97,6.16
Tăng trưởng vốn điều lệ,charter_capital,16.8,16.8,16.8,16.8
Tăng trưởng dư nợ cho vay,deposits_from_customers,18.14,21.31,14.47,16.17
Tăng trưởng huy động vốn khách hàng,deposits_from_customers_2,19.22,20.23,11.89,8.7
Tăng trưởng thu nhập lãi thuần,net_interest_income,6.1,12.1,-5.27,2.5
Tăng trưởng dự phòng rủi ro tín dụng,provisions_for_loan_losses,-7.09,8.58,4.44,6.79
Tăng trưởng thu phí dịch vụ thuần,net_fee_and_commission_income,30.57,-16.04,1.18,-1.72
Tăng trưởng tổng thu nhập HĐKD trước dự phòng,operating_profit_before_provision_for_credit_losses,27.94,9.7,8.79,-3.8
Tăng trưởng tổng chi phí HĐKD,operating_expenses,19.06,-5.74,-4.48,17.26
Dư nợ cho vay khách hàng/Tổng vốn huy động (LDR),outstanding_loans_customer_deposits,71.59,79.96,79.19,79.61
Dư nợ cho vay/Tổng tài sản Có,outstanding_loans_total_assets,64.69,71.95,70.45,71.79
Vốn chủ sở hữu/Tổng vốn huy động ,equity_deposits_from_customers,0.09,0.09,0.1,0.09
Vốn chủ sở hữu/Tổng tài sản Có,equity_total_assets,7.79,8.06,9.18,7.92
Dự phòng rủi ro tín dụng/Tổng dư nợ,loan_loss_provision_ratio,-0.01,-0.01,-0.01,-0.01
Tài sản Có sinh lãi/Tổng tài sản Có,earning_assets_total_assets,98.47,98.85,98.21,97.91
