item,item_id,2026-Q1,2025-Q4,2025-Q4_1,2025-Q3
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,3980.45,4050.73,4516.14,4331.22
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,17631.6,16522.75,20267.29,20943.62
Chỉ số giá thị trường trên thu nhập (P/E),p_e,6.36,6.47,5.34,5.96
Chỉ số giá thị trường trên giá trị sổ sách (P/B),p_b,1.43,1.59,1.19,1.23
Tỷ suất cổ tức,dividend_yield,0.01,0.01,0.02,0.0
Beta,beta,1.17,1.2,1.11,1.01
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,6.37,4.27,5.46,4.67
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,0.6,0.43,0.57,0.48
Tỷ suất sinh lợi của Tài sản Có sinh lãi (YOEA),yield_on_earning_assets_yoea,1.67,1.72,1.75,1.68
Tỷ lệ chi phí hình thành Tài sản Có sinh lãi (COF),cost_of_funding_earning_assets_cof,0.91,0.83,0.81,0.84
Tỷ lệ thu nhập lãi thuần (NIM),net_interest_margin_nim,0.93,1.0,1.05,0.99
Tỷ lệ chi phí hoạt động/Tổng thu nhập HĐKD trước dự phòng (CIR),cost_income_ratio_cir,31.9,29.14,25.78,28.74
ROE bình quân 4 quý gần nhất,roe_trailling,21.22,20.22,22.6,21.36
ROA bình quân 4 quý gần nhất,roa_trailling,1.99,1.98,2.29,2.13
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,37.51,-0.79,44.71,-1.7
Tăng trưởng lợi nhuận sau thuế của CĐ ngân hàng mẹ,profit_after_tax_for_shareholders_of_the_parent_company,39.44,-3.78,44.9,-2.47
Tăng trưởng tổng tài sản,total_assets,43.14,29.13,28.45,30.45
Tăng trưởng vốn chủ sở hữu,owners_equity,21.32,20.97,27.14,22.64
Tăng trưởng vốn điều lệ,charter_capital,51.8,52.35,17.03,15.42
Tăng trưởng dư nợ cho vay,deposits_from_customers,39.57,32.69,29.61,30.59
Tăng trưởng huy động vốn khách hàng,deposits_from_customers_2,29.02,25.57,29.31,26.62
Tăng trưởng thu nhập lãi thuần,net_interest_income,30.63,24.71,29.02,17.48
Tăng trưởng dự phòng rủi ro tín dụng,provisions_for_loan_losses,-4.7,9.97,-4.87,13.56
Tăng trưởng thu phí dịch vụ thuần,net_fee_and_commission_income,77.95,49.38,30.7,41.45
Tăng trưởng tổng thu nhập HĐKD trước dự phòng,operating_profit_before_provision_for_credit_losses,17.51,23.51,33.76,27.5
Tăng trưởng tổng chi phí HĐKD,operating_expenses,18.73,21.02,12.4,10.38
Dư nợ cho vay khách hàng/Tổng vốn huy động (LDR),outstanding_loans_customer_deposits,77.2,81.92,81.07,79.6
Dư nợ cho vay/Tổng tài sản Có,outstanding_loans_total_assets,67.09,70.11,68.94,68.23
Vốn chủ sở hữu/Tổng vốn huy động ,equity_deposits_from_customers,0.1,0.12,0.13,0.12
Vốn chủ sở hữu/Tổng tài sản Có,equity_total_assets,8.79,10.02,10.69,9.91
Dự phòng rủi ro tín dụng/Tổng dư nợ,loan_loss_provision_ratio,-0.01,-0.02,-0.01,-0.01
Tài sản Có sinh lãi/Tổng tài sản Có,earning_assets_total_assets,96.63,97.4,96.65,97.25
