item,item_id,2026-Q1,2025-Q4,2025-Q4_1,2025-Q3
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,2060.55,2074.71,2404.43,2062.28
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,13604.51,15598.56,14623.33,15120.05
Chỉ số giá thị trường trên thu nhập (P/E),p_e,6.02,6.34,5.07,5.82
Chỉ số giá thị trường trên giá trị sổ sách (P/B),p_b,0.91,0.84,0.83,0.79
Tỷ suất cổ tức,dividend_yield,0.0,0.0,0.0,0.0
Beta,beta,1.13,1.23,1.28,1.15
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,4.46,3.19,3.38,3.2
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,0.49,0.37,0.4,0.38
Tỷ suất sinh lợi của Tài sản Có sinh lãi (YOEA),yield_on_earning_assets_yoea,1.58,1.6,1.62,1.56
Tỷ lệ chi phí hình thành Tài sản Có sinh lãi (COF),cost_of_funding_earning_assets_cof,0.92,0.87,0.88,0.89
Tỷ lệ thu nhập lãi thuần (NIM),net_interest_margin_nim,0.79,0.83,0.83,0.79
Tỷ lệ chi phí hoạt động/Tổng thu nhập HĐKD trước dự phòng (CIR),cost_income_ratio_cir,31.27,38.97,37.88,36.89
ROE bình quân 4 quý gần nhất,roe_trailling,14.04,13.95,15.54,13.65
ROA bình quân 4 quý gần nhất,roa_trailling,1.59,1.62,1.82,1.6
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,14.78,30.98,6.58,-28.59
Tăng trưởng lợi nhuận sau thuế của CĐ ngân hàng mẹ,profit_after_tax_for_shareholders_of_the_parent_company,14.49,30.22,6.0,-28.47
Tăng trưởng tổng tài sản,total_assets,27.33,18.28,12.89,15.49
Tăng trưởng vốn chủ sở hữu,owners_equity,15.29,15.11,17.69,16.03
Tăng trưởng vốn điều lệ,charter_capital,20.0,30.0,30.0,30.0
Tăng trưởng dư nợ cho vay,deposits_from_customers,15.11,20.12,23.17,20.65
Tăng trưởng huy động vốn khách hàng,deposits_from_customers_2,27.2,23.52,18.29,14.95
Tăng trưởng thu nhập lãi thuần,net_interest_income,-3.04,17.48,5.84,10.37
Tăng trưởng dự phòng rủi ro tín dụng,provisions_for_loan_losses,-7.2,1.84,-2.65,2.38
Tăng trưởng thu phí dịch vụ thuần,net_fee_and_commission_income,105.7,-46.13,38.81,33.0
Tăng trưởng tổng thu nhập HĐKD trước dự phòng,operating_profit_before_provision_for_credit_losses,11.91,17.37,-2.26,-19.88
Tăng trưởng tổng chi phí HĐKD,operating_expenses,-36.36,14.02,17.77,15.61
Dư nợ cho vay khách hàng/Tổng vốn huy động (LDR),outstanding_loans_customer_deposits,57.32,66.4,71.11,67.71
Dư nợ cho vay/Tổng tài sản Có,outstanding_loans_total_assets,50.34,57.62,61.12,58.82
Vốn chủ sở hữu/Tổng vốn huy động ,equity_deposits_from_customers,0.12,0.13,0.14,0.13
Vốn chủ sở hữu/Tổng tài sản Có,equity_total_assets,10.41,11.4,12.08,11.52
Dự phòng rủi ro tín dụng/Tổng dư nợ,loan_loss_provision_ratio,-0.01,-0.02,-0.02,-0.02
Tài sản Có sinh lãi/Tổng tài sản Có,earning_assets_total_assets,94.76,95.86,96.33,96.16
