item,item_id,2026-Q1,2025-Q4,2025-Q4_1,2025-Q3
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,1593.46,1570.88,1285.85,1263.39
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,12746.07,12259.56,13135.03,13429.26
Chỉ số giá thị trường trên thu nhập (P/E),p_e,7.5,8.05,8.67,9.26
Chỉ số giá thị trường trên giá trị sổ sách (P/B),p_b,0.94,1.03,0.85,0.87
Tỷ suất cổ tức,dividend_yield,0.06,0.06,0.0,0.0
Beta,beta,0.91,1.01,1.2,1.08
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,3.89,3.73,2.22,2.42
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,0.41,0.39,0.25,0.27
Tỷ suất sinh lợi của Tài sản Có sinh lãi (YOEA),yield_on_earning_assets_yoea,1.85,1.8,1.79,1.68
Tỷ lệ chi phí hình thành Tài sản Có sinh lãi (COF),cost_of_funding_earning_assets_cof,1.2,1.13,1.14,1.11
Tỷ lệ thu nhập lãi thuần (NIM),net_interest_margin_nim,0.79,0.8,0.79,0.74
Tỷ lệ chi phí hoạt động/Tổng thu nhập HĐKD trước dự phòng (CIR),cost_income_ratio_cir,29.8,36.48,44.08,38.19
ROE bình quân 4 quý gần nhất,roe_trailling,12.2,11.98,9.41,9.43
ROA bình quân 4 quý gần nhất,roa_trailling,1.3,1.3,1.09,1.05
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,11.16,249.46,-26.45,11.21
Tăng trưởng lợi nhuận sau thuế của CĐ ngân hàng mẹ,profit_after_tax_for_shareholders_of_the_parent_company,12.04,253.67,-25.29,10.6
Tăng trưởng tổng tài sản,total_assets,15.06,18.7,21.98,29.31
Tăng trưởng vốn chủ sở hữu,owners_equity,7.17,7.06,9.81,9.86
Tăng trưởng vốn điều lệ,charter_capital,8.0,29.6,20.0,20.0
Tăng trưởng dư nợ cho vay,deposits_from_customers,16.34,23.94,15.95,22.02
Tăng trưởng huy động vốn khách hàng,deposits_from_customers_2,5.31,13.7,19.32,16.99
Tăng trưởng thu nhập lãi thuần,net_interest_income,-6.51,17.41,13.83,9.69
Tăng trưởng dự phòng rủi ro tín dụng,provisions_for_loan_losses,21.56,12.39,-5.97,9.13
Tăng trưởng thu phí dịch vụ thuần,net_fee_and_commission_income,-14.02,-6.67,9.4,97.58
Tăng trưởng tổng thu nhập HĐKD trước dự phòng,operating_profit_before_provision_for_credit_losses,22.65,35.57,-10.38,23.96
Tăng trưởng tổng chi phí HĐKD,operating_expenses,5.74,16.42,15.38,5.63
Dư nợ cho vay khách hàng/Tổng vốn huy động (LDR),outstanding_loans_customer_deposits,71.65,71.88,72.63,70.42
Dư nợ cho vay/Tổng tài sản Có,outstanding_loans_total_assets,61.54,62.09,60.59,60.32
Vốn chủ sở hữu/Tổng vốn huy động ,equity_deposits_from_customers,0.12,0.12,0.13,0.13
Vốn chủ sở hữu/Tổng tài sản Có,equity_total_assets,10.51,10.36,11.2,10.72
Dự phòng rủi ro tín dụng/Tổng dư nợ,loan_loss_provision_ratio,-0.02,-0.02,-0.01,-0.01
Tài sản Có sinh lãi/Tổng tài sản Có,earning_assets_total_assets,96.94,96.29,94.17,95.89
