item,item_id,2026-Q1,2025-Q4,2025-Q4_1,2025-Q3
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,1963.14,2358.02,2639.24,2494.75
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,14190.72,14153.95,13567.52,13905.4
Chỉ số giá thị trường trên thu nhập (P/E),p_e,8.89,8.18,7.41,7.28
Chỉ số giá thị trường trên giá trị sổ sách (P/B),p_b,1.23,1.36,1.44,1.31
Tỷ suất cổ tức,dividend_yield,0.0,0.0,0.0,0.0
Beta,beta,0.61,0.53,0.55,0.5
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,0.26,1.95,9.49,3.09
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,0.03,0.21,1.06,0.34
Tỷ suất sinh lợi của Tài sản Có sinh lãi (YOEA),yield_on_earning_assets_yoea,1.78,1.73,1.77,1.65
Tỷ lệ chi phí hình thành Tài sản Có sinh lãi (COF),cost_of_funding_earning_assets_cof,1.25,1.18,1.1,1.12
Tỷ lệ thu nhập lãi thuần (NIM),net_interest_margin_nim,0.65,0.64,0.77,0.68
Tỷ lệ chi phí hoạt động/Tổng thu nhập HĐKD trước dự phòng (CIR),cost_income_ratio_cir,53.74,37.35,17.77,35.95
ROE bình quân 4 quý gần nhất,roe_trailling,14.06,17.46,20.28,18.87
ROA bình quân 4 quý gần nhất,roa_trailling,1.5,1.89,2.31,2.09
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,-91.58,-24.69,188.82,-13.08
Tăng trưởng lợi nhuận sau thuế của CĐ ngân hàng mẹ,profit_after_tax_for_shareholders_of_the_parent_company,-91.46,-22.97,190.72,-12.71
Tăng trưởng tổng tài sản,total_assets,21.72,31.99,22.88,35.07
Tăng trưởng vốn chủ sở hữu,owners_equity,15.34,19.21,22.28,20.73
Tăng trưởng vốn điều lệ,charter_capital,0.35,0.35,14.0,14.0
Tăng trưởng dư nợ cho vay,deposits_from_customers,13.23,18.63,17.59,18.61
Tăng trưởng huy động vốn khách hàng,deposits_from_customers_2,13.95,15.63,3.67,11.51
Tăng trưởng thu nhập lãi thuần,net_interest_income,1.07,-16.45,22.42,-10.11
Tăng trưởng dự phòng rủi ro tín dụng,provisions_for_loan_losses,-0.29,3.27,-2.4,-0.94
Tăng trưởng thu phí dịch vụ thuần,net_fee_and_commission_income,-67.41,-17.43,24.76,-9.96
Tăng trưởng tổng thu nhập HĐKD trước dự phòng,operating_profit_before_provision_for_credit_losses,-33.14,-20.61,166.6,-26.79
Tăng trưởng tổng chi phí HĐKD,operating_expenses,41.69,-14.17,13.45,1.96
Dư nợ cho vay khách hàng/Tổng vốn huy động (LDR),outstanding_loans_customer_deposits,67.75,69.96,73.46,66.28
Dư nợ cho vay/Tổng tài sản Có,outstanding_loans_total_assets,59.79,61.33,63.84,58.18
Vốn chủ sở hữu/Tổng vốn huy động ,equity_deposits_from_customers,0.12,0.12,0.13,0.12
Vốn chủ sở hữu/Tổng tài sản Có,equity_total_assets,10.18,10.57,11.57,10.44
Dự phòng rủi ro tín dụng/Tổng dư nợ,loan_loss_provision_ratio,-0.01,-0.01,-0.02,-0.01
Tài sản Có sinh lãi/Tổng tài sản Có,earning_assets_total_assets,95.48,95.2,94.93,95.1
