item,item_id,2026-Q1,2025-Q4,2025-Q4_1,2025-Q3
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,3575.81,3112.8,3506.16,3074.81
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,25330.98,25320.99,21791.35,22905.96
Chỉ số giá thị trường trên thu nhập (P/E),p_e,9.76,12.16,7.84,11.12
Chỉ số giá thị trường trên giá trị sổ sách (P/B),p_b,1.38,1.49,1.26,1.49
Tỷ suất cổ tức,dividend_yield,0.03,0.03,0.05,0.0
Beta,beta,1.2,1.21,1.24,1.22
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,3.72,3.76,3.94,3.96
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,0.58,0.59,0.6,0.62
Tỷ suất sinh lợi của Tài sản Có sinh lãi (YOEA),yield_on_earning_assets_yoea,1.75,1.71,1.61,1.7
Tỷ lệ chi phí hình thành Tài sản Có sinh lãi (COF),cost_of_funding_earning_assets_cof,0.88,0.86,0.82,0.86
Tỷ lệ thu nhập lãi thuần (NIM),net_interest_margin_nim,0.97,0.92,0.89,0.93
Tỷ lệ chi phí hoạt động/Tổng thu nhập HĐKD trước dự phòng (CIR),cost_income_ratio_cir,32.61,31.55,28.29,30.06
ROE bình quân 4 quý gần nhất,roe_trailling,15.73,14.22,14.73,14.27
ROA bình quân 4 quý gần nhất,roa_trailling,2.33,2.13,2.23,2.17
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,94.91,14.36,-7.25,0.92
Tăng trưởng lợi nhuận sau thuế của CĐ ngân hàng mẹ,profit_after_tax_for_shareholders_of_the_parent_company,98.03,11.88,-4.39,0.87
Tăng trưởng tổng tài sản,total_assets,21.82,21.85,11.69,14.24
Tăng trưởng vốn chủ sở hữu,owners_equity,21.33,24.29,11.66,16.8
Tăng trưởng vốn điều lệ,charter_capital,0.3,0.28,100.56,0.28
Tăng trưởng dư nợ cho vay,deposits_from_customers,21.51,22.42,18.67,19.97
Tăng trưởng huy động vốn khách hàng,deposits_from_customers_2,16.03,20.23,16.06,13.12
Tăng trưởng thu nhập lãi thuần,net_interest_income,25.42,11.15,-2.28,-3.6
Tăng trưởng dự phòng rủi ro tín dụng,provisions_for_loan_losses,-1.24,11.56,7.19,9.31
Tăng trưởng thu phí dịch vụ thuần,net_fee_and_commission_income,75.75,16.39,-15.8,-14.4
Tăng trưởng tổng thu nhập HĐKD trước dự phòng,operating_profit_before_provision_for_credit_losses,107.13,17.13,-7.62,-5.9
Tăng trưởng tổng chi phí HĐKD,operating_expenses,1.76,30.95,1.1,-3.0
Dư nợ cho vay khách hàng/Tổng vốn huy động (LDR),outstanding_loans_customer_deposits,78.05,83.02,81.44,83.12
Dư nợ cho vay/Tổng tài sản Có,outstanding_loans_total_assets,64.38,67.88,67.09,68.45
Vốn chủ sở hữu/Tổng vốn huy động ,equity_deposits_from_customers,0.18,0.19,0.19,0.19
Vốn chủ sở hữu/Tổng tài sản Có,equity_total_assets,15.05,15.88,15.56,15.6
Dự phòng rủi ro tín dụng/Tổng dư nợ,loan_loss_provision_ratio,-0.01,-0.01,-0.01,-0.01
Tài sản Có sinh lãi/Tổng tài sản Có,earning_assets_total_assets,93.17,95.36,94.35,95.15
