item,item_id,2026-Q1,2025-Q4,2025-Q4_1,2025-Q3
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,2775.99,2476.24,2597.55,2529.11
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,16589.03,15137.74,14947.86,14470.3
Chỉ số giá thị trường trên thu nhập (P/E),p_e,6.16,7.61,5.51,5.32
Chỉ số giá thị trường trên giá trị sổ sách (P/B),p_b,1.03,1.25,0.96,0.93
Tỷ suất cổ tức,dividend_yield,0.06,0.05,0.03,0.07
Beta,beta,1.38,1.45,1.23,1.2
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,5.91,3.89,4.38,4.19
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,0.53,0.35,0.42,0.4
Tỷ suất sinh lợi của Tài sản Có sinh lãi (YOEA),yield_on_earning_assets_yoea,1.83,1.76,1.82,1.78
Tỷ lệ chi phí hình thành Tài sản Có sinh lãi (COF),cost_of_funding_earning_assets_cof,1.22,1.14,0.95,1.16
Tỷ lệ thu nhập lãi thuần (NIM),net_interest_margin_nim,0.75,0.74,0.9,0.76
Tỷ lệ chi phí hoạt động/Tổng thu nhập HĐKD trước dự phòng (CIR),cost_income_ratio_cir,22.82,37.88,42.03,37.99
ROE bình quân 4 quý gần nhất,roe_trailling,18.45,16.85,16.91,16.9
ROA bình quân 4 quý gần nhất,roa_trailling,1.66,1.55,1.62,1.58
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,47.67,9.9,15.33,7.0
Tăng trưởng lợi nhuận sau thuế của CĐ ngân hàng mẹ,profit_after_tax_for_shareholders_of_the_parent_company,49.12,9.95,15.31,7.02
Tăng trưởng tổng tài sản,total_assets,21.01,17.27,9.28,18.54
Tăng trưởng vốn chủ sở hữu,owners_equity,22.4,10.14,15.51,7.36
Tăng trưởng vốn điều lệ,charter_capital,5.0,20.0,20.0,20.0
Tăng trưởng dư nợ cho vay,deposits_from_customers,22.16,26.13,30.7,33.46
Tăng trưởng huy động vốn khách hàng,deposits_from_customers_2,14.93,15.76,22.16,21.6
Tăng trưởng thu nhập lãi thuần,net_interest_income,17.18,2.01,-1.28,-2.64
Tăng trưởng dự phòng rủi ro tín dụng,provisions_for_loan_losses,-9.76,10.22,10.16,7.45
Tăng trưởng thu phí dịch vụ thuần,net_fee_and_commission_income,34.69,30.27,27.24,4.61
Tăng trưởng tổng thu nhập HĐKD trước dự phòng,operating_profit_before_provision_for_credit_losses,24.2,9.43,-13.65,0.31
Tăng trưởng tổng chi phí HĐKD,operating_expenses,-31.88,20.16,12.42,26.8
Dư nợ cho vay khách hàng/Tổng vốn huy động (LDR),outstanding_loans_customer_deposits,67.72,73.19,76.51,74.27
Dư nợ cho vay/Tổng tài sản Có,outstanding_loans_total_assets,60.45,65.51,67.49,66.46
Vốn chủ sở hữu/Tổng vốn huy động ,equity_deposits_from_customers,0.1,0.1,0.12,0.1
Vốn chủ sở hữu/Tổng tài sản Có,equity_total_assets,9.1,8.85,10.15,8.92
Dự phòng rủi ro tín dụng/Tổng dư nợ,loan_loss_provision_ratio,-0.01,-0.01,-0.01,-0.01
Tài sản Có sinh lãi/Tổng tài sản Có,earning_assets_total_assets,95.22,97.22,96.25,96.85
