item,item_id,2026-Q1,2025-Q4,2025-Q4_1,2025-Q3
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,2319.29,2495.74,2558.3,2598.41
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,13779.28,13296.03,14649.68,14644.47
Chỉ số giá thị trường trên thu nhập (P/E),p_e,7.65,7.97,7.76,7.04
Chỉ số giá thị trường trên giá trị sổ sách (P/B),p_b,1.29,1.5,1.35,1.25
Tỷ suất cổ tức,dividend_yield,0.04,0.04,0.03,0.04
Beta,beta,0.92,0.99,1.18,1.03
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,3.58,3.66,4.53,4.76
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,0.3,0.3,0.39,0.4
Tỷ suất sinh lợi của Tài sản Có sinh lãi (YOEA),yield_on_earning_assets_yoea,1.82,1.72,1.71,1.65
Tỷ lệ chi phí hình thành Tài sản Có sinh lãi (COF),cost_of_funding_earning_assets_cof,1.16,1.06,1.05,1.03
Tỷ lệ thu nhập lãi thuần (NIM),net_interest_margin_nim,0.77,0.77,0.76,0.75
Tỷ lệ chi phí hoạt động/Tổng thu nhập HĐKD trước dự phòng (CIR),cost_income_ratio_cir,37.32,36.33,38.23,36.85
ROE bình quân 4 quý gần nhất,roe_trailling,16.24,17.34,17.44,17.82
ROA bình quân 4 quý gần nhất,roa_trailling,1.37,1.47,1.53,1.53
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,-14.28,1.59,-3.24,23.42
Tăng trưởng lợi nhuận sau thuế của CĐ ngân hàng mẹ,profit_after_tax_for_shareholders_of_the_parent_company,-14.22,1.58,-3.23,23.38
Tăng trưởng tổng tài sản,total_assets,12.76,22.04,19.77,23.19
Tăng trưởng vốn chủ sở hữu,owners_equity,12.05,13.31,13.61,13.76
Tăng trưởng vốn điều lệ,charter_capital,14.26,14.26,17.44,17.44
Tăng trưởng dư nợ cho vay,deposits_from_customers,17.89,25.27,24.82,27.67
Tăng trưởng huy động vốn khách hàng,deposits_from_customers_2,6.61,20.46,20.53,22.92
Tăng trưởng thu nhập lãi thuần,net_interest_income,7.59,2.78,-7.4,0.59
Tăng trưởng dự phòng rủi ro tín dụng,provisions_for_loan_losses,-0.28,3.54,-14.04,-3.84
Tăng trưởng thu phí dịch vụ thuần,net_fee_and_commission_income,27.43,20.61,-49.89,-45.93
Tăng trưởng tổng thu nhập HĐKD trước dự phòng,operating_profit_before_provision_for_credit_losses,-6.05,1.08,-17.56,-0.06
Tăng trưởng tổng chi phí HĐKD,operating_expenses,12.53,2.07,-5.99,4.4
Dư nợ cho vay khách hàng/Tổng vốn huy động (LDR),outstanding_loans_customer_deposits,76.68,76.58,75.65,74.85
Dư nợ cho vay/Tổng tài sản Có,outstanding_loans_total_assets,68.69,68.57,67.41,67.07
Vốn chủ sở hữu/Tổng vốn huy động ,equity_deposits_from_customers,0.09,0.09,0.1,0.09
Vốn chủ sở hữu/Tổng tài sản Có,equity_total_assets,8.43,8.33,8.8,8.22
Dự phòng rủi ro tín dụng/Tổng dư nợ,loan_loss_provision_ratio,-0.01,-0.01,-0.01,-0.01
Tài sản Có sinh lãi/Tổng tài sản Có,earning_assets_total_assets,98.28,99.09,99.17,99.16
