item,item_id,2026-Q1,2025-Q4,2025-Q4_1,2025-Q3
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,3023.72,2602.77,2029.08,2193.44
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,22722.13,20109.25,19059.09,19181.26
Chỉ số giá thị trường trên thu nhập (P/E),p_e,9.48,11.95,9.36,8.43
Chỉ số giá thị trường trên giá trị sổ sách (P/B),p_b,1.26,1.55,1.0,0.96
Tỷ suất cổ tức,dividend_yield,0.02,0.02,0.05,0.03
Beta,beta,1.31,1.21,1.05,1.06
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,4.68,4.67,2.61,3.21
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,0.65,0.64,0.41,0.46
Tỷ suất sinh lợi của Tài sản Có sinh lãi (YOEA),yield_on_earning_assets_yoea,2.44,2.31,2.36,2.18
Tỷ lệ chi phí hình thành Tài sản Có sinh lãi (COF),cost_of_funding_earning_assets_cof,1.26,1.17,1.12,1.15
Tỷ lệ thu nhập lãi thuần (NIM),net_interest_margin_nim,1.39,1.33,1.42,1.25
Tỷ lệ chi phí hoạt động/Tổng thu nhập HĐKD trước dự phòng (CIR),cost_income_ratio_cir,26.43,21.99,24.89,25.75
ROE bình quân 4 quý gần nhất,roe_trailling,15.62,14.04,11.53,12.18
ROA bình quân 4 quý gần nhất,roa_trailling,2.11,1.97,1.77,1.79
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,66.29,76.72,19.92,38.61
Tăng trưởng lợi nhuận sau thuế của CĐ ngân hàng mẹ,profit_after_tax_for_shareholders_of_the_parent_company,72.33,80.63,9.2,36.65
Tăng trưởng tổng tài sản,total_assets,36.4,37.19,20.88,27.8
Tăng trưởng vốn chủ sở hữu,owners_equity,22.41,12.17,5.79,10.22
Tăng trưởng vốn điều lệ,charter_capital,0.0,0.0,0.0,0.0
Tăng trưởng dư nợ cho vay,deposits_from_customers,36.23,41.09,25.28,32.81
Tăng trưởng huy động vốn khách hàng,deposits_from_customers_2,29.32,23.13,21.18,27.46
Tăng trưởng thu nhập lãi thuần,net_interest_income,27.09,23.9,17.95,8.41
Tăng trưởng dự phòng rủi ro tín dụng,provisions_for_loan_losses,0.52,0.84,0.51,4.76
Tăng trưởng thu phí dịch vụ thuần,net_fee_and_commission_income,60.68,108.44,-24.78,-27.15
Tăng trưởng tổng thu nhập HĐKD trước dự phòng,operating_profit_before_provision_for_credit_losses,19.04,38.88,17.58,-5.21
Tăng trưởng tổng chi phí HĐKD,operating_expenses,56.27,18.04,11.75,26.27
Dư nợ cho vay khách hàng/Tổng vốn huy động (LDR),outstanding_loans_customer_deposits,91.61,91.92,89.17,90.36
Dư nợ cho vay/Tổng tài sản Có,outstanding_loans_total_assets,74.9,76.08,73.43,75.05
Vốn chủ sở hữu/Tổng vốn huy động ,equity_deposits_from_customers,0.17,0.16,0.18,0.17
Vốn chủ sở hữu/Tổng tài sản Có,equity_total_assets,14.31,13.54,15.21,13.78
Dự phòng rủi ro tín dụng/Tổng dư nợ,loan_loss_provision_ratio,-0.02,-0.02,-0.02,-0.02
Tài sản Có sinh lãi/Tổng tài sản Có,earning_assets_total_assets,95.87,96.32,94.38,97.29
